REF_DATE,GEO,Custodial and community admissions,VALUE
2001/2002,Northwest Territories,Other community programs,
2001/2002,Northwest Territories,Unknown community admissions,
2001/2002,Nunavut,Total custodial admissions,531
2001/2002,Nunavut,Sentenced,313
2001/2002,Nunavut,Remand,218
2001/2002,Nunavut,Total community admissions,400
2001/2002,Nunavut,Probation and conditional sentences,248
2001/2002,Nunavut,Probation,193
2001/2002,Nunavut,Conditional sentence,55
2001/2002,Nunavut,Other community programs,150
2001/2002,Nunavut,Unknown community admissions,2
2002/2003,All Provinces and territories,Total custodial admissions,211092
2002/2003,All Provinces and territories,Sentenced,69033
2002/2003,All Provinces and territories,Remand,115521
2002/2003,All Provinces and territories,Other custodial statuses,26538
2002/2003,All Provinces and territories,Total community admissions,150843
2002/2003,All Provinces and territories,Probation and conditional sentences,101040
2002/2003,All Provinces and territories,Probation,82010
2002/2003,All Provinces and territories,Conditional sentence,19030
2002/2003,All Provinces and territories,Other community programs,49802
2002/2003,All Provinces and territories,Unknown community admissions,1
2002/2003,Newfoundland and Labrador,Total custodial admissions,1675
2002/2003,Newfoundland and Labrador,Sentenced,1148
2002/2003,Newfoundland and Labrador,Remand,427
2002/2003,Newfoundland and Labrador,Other custodial statuses,100
2002/2003,Newfoundland and Labrador,Total community admissions,2048
2002/2003,Newfoundland and Labrador,Probation and conditional sentences,2048
2002/2003,Newfoundland and Labrador,Probation,1736
2002/2003,Newfoundland and Labrador,Conditional sentence,312
2002/2003,Newfoundland and Labrador,Other community programs,0
2002/2003,Newfoundland and Labrador,Unknown community admissions,0
2002/2003,Prince Edward Island,Total custodial admissions,859
2002/2003,Prince Edward Island,Sentenced,594
2002/2003,Prince Edward Island,Remand,265
2002/2003,Prince Edward Island,Other custodial statuses,
2002/2003,Prince Edward Island,Total community admissions,797
2002/2003,Prince Edward Island,Probation and conditional sentences,578
2002/2003,Prince Edward Island,Probation,541
2002/2003,Prince Edward Island,Conditional sentence,37
2002/2003,Prince Edward Island,Other community programs,219
2002/2003,Prince Edward Island,Unknown community admissions,0
2002/2003,Nova Scotia,Total custodial admissions,3840
2002/2003,Nova Scotia,Sentenced,1550
2002/2003,Nova Scotia,Remand,1949
2002/2003,Nova Scotia,Other custodial statuses,341
2002/2003,Nova Scotia,Total community admissions,5241
2002/2003,Nova Scotia,Probation and conditional sentences,3614
2002/2003,Nova Scotia,Probation,2999
2002/2003,Nova Scotia,Conditional sentence,615
2002/2003,Nova Scotia,Other community programs,1627
2002/2003,Nova Scotia,Unknown community admissions,0
2002/2003,New Brunswick,Total custodial admissions,4348
2002/2003,New Brunswick,Sentenced,2454
2002/2003,New Brunswick,Remand,1358
2002/2003,New Brunswick,Other custodial statuses,536
2002/2003,New Brunswick,Total community admissions,3220
2002/2003,New Brunswick,Probation and conditional sentences,2398
2002/2003,New Brunswick,Probation,1792
2002/2003,New Brunswick,Conditional sentence,606
2002/2003,New Brunswick,Other community programs,822
2002/2003,New Brunswick,Unknown community admissions,0
2002/2003,Quebec,Total custodial admissions,43080
2002/2003,Quebec,Sentenced,13423
2002/2003,Quebec,Remand,26588
2002/2003,Quebec,Other custodial statuses,3069
2002/2003,Quebec,Total community admissions,18914
2002/2003,Quebec,Probation and conditional sentences,13221
2002/2003,Quebec,Probation,8280
2002/2003,Quebec,Conditional sentence,4941
2002/2003,Quebec,Other community programs,5693
2002/2003,Quebec,Unknown community admissions,0
2002/2003,Ontario,Total custodial admissions,94694
2002/2003,Ontario,Sentenced,33050
2002/2003,Ontario,Remand,58470
2002/2003,Ontario,Other custodial statuses,3174
2002/2003,Ontario,Total community admissions,53046
2002/2003,Ontario,Probation and conditional sentences,44698
2002/2003,Ontario,Probation,39778
2002/2003,Ontario,Conditional sentence,4920
2002/2003,Ontario,Other community programs,8348
2002/2003,Ontario,Unknown community admissions,0
2002/2003,Manitoba,Total custodial admissions,18014
2002/2003,Manitoba,Sentenced,3316
2002/2003,Manitoba,Remand,8615
2002/2003,Manitoba,Other custodial statuses,6083
2002/2003,Manitoba,Total community admissions,7781
2002/2003,Manitoba,Probation and conditional sentences,4299
2002/2003,Manitoba,Probation,3501
2002/2003,Manitoba,Conditional sentence,798
2002/2003,Manitoba,Other community programs,3482
2002/2003,Manitoba,Unknown community admissions,0
2002/2003,Saskatchewan,Total custodial admissions,9244
2002/2003,Saskatchewan,Sentenced,3536
2002/2003,Saskatchewan,Remand,5518
2002/2003,Saskatchewan,Other custodial statuses,190
2002/2003,Saskatchewan,Total community admissions,7519
2002/2003,Saskatchewan,Probation and conditional sentences,5025
2002/2003,Saskatchewan,Probation,3553
2002/2003,Saskatchewan,Conditional sentence,1472
2002/2003,Saskatchewan,Other community programs,2494
2002/2003,Saskatchewan,Unknown community admissions,0
2002/2003,Alberta,Total custodial admissions,
2002/2003,Alberta,Sentenced,
2002/2003,Alberta,Remand,
2002/2003,Alberta,Other custodial statuses,
2002/2003,Alberta,Total community admissions,21200
2002/2003,Alberta,Probation and conditional sentences,10411
2002/2003,Alberta,Probation,8821
2002/2003,Alberta,Conditional sentence,1590
2002/2003,Alberta,Other community programs,10789
2002/2003,Alberta,Unknown community admissions,0
2002/2003,British Columbia,Total custodial admissions,33277
2002/2003,British Columbia,Sentenced,8740
2002/2003,British Columbia,Remand,11507
2002/2003,British Columbia,Other custodial statuses,13030
2002/2003,British Columbia,Total community admissions,29757
2002/2003,British Columbia,Probation and conditional sentences,13974
2002/2003,British Columbia,Probation,10429
2002/2003,British Columbia,Conditional sentence,3545
2002/2003,British Columbia,Other community programs,15783
2002/2003,British Columbia,Unknown community admissions,0
2002/2003,Yukon,Total custodial admissions,552
2002/2003,Yukon,Sentenced,212
2002/2003,Yukon,Remand,327
2002/2003,Yukon,Other custodial statuses,13
2002/2003,Yukon,Total community admissions,833
2002/2003,Yukon,Probation and conditional sentences,462
2002/2003,Yukon,Probation,363
2002/2003,Yukon,Conditional sentence,99
2002/2003,Yukon,Other community programs,371
2002/2003,Yukon,Unknown community admissions,0
2002/2003,Northwest Territories,Total custodial admissions,955
2002/2003,Northwest Territories,Sentenced,685
2002/2003,Northwest Territories,Remand,268
2002/2003,Northwest Territories,Other custodial statuses,2
2002/2003,Northwest Territories,Total community admissions,
