REF_DATE,GEO,Custodial and community admissions,VALUE
2008/2009,British Columbia,Probation,10342
2008/2009,British Columbia,Conditional sentence,3038
2008/2009,British Columbia,Other community programs,17208
2008/2009,British Columbia,Unknown community admissions,0
2008/2009,Yukon,Total custodial admissions,633
2008/2009,Yukon,Sentenced,226
2008/2009,Yukon,Remand,392
2008/2009,Yukon,Other custodial statuses,15
2008/2009,Yukon,Total community admissions,950
2008/2009,Yukon,Probation and conditional sentences,391
2008/2009,Yukon,Probation,317
2008/2009,Yukon,Conditional sentence,74
2008/2009,Yukon,Other community programs,559
2008/2009,Yukon,Unknown community admissions,0
2008/2009,Northwest Territories,Total custodial admissions,1131
2008/2009,Northwest Territories,Sentenced,611
2008/2009,Northwest Territories,Remand,520
2008/2009,Northwest Territories,Other custodial statuses,
2008/2009,Northwest Territories,Total community admissions,
2008/2009,Northwest Territories,Probation and conditional sentences,
2008/2009,Northwest Territories,Probation,
2008/2009,Northwest Territories,Conditional sentence,
2008/2009,Northwest Territories,Other community programs,
2008/2009,Northwest Territories,Unknown community admissions,
2008/2009,Nunavut,Total custodial admissions,828
2008/2009,Nunavut,Sentenced,383
2008/2009,Nunavut,Remand,445
2008/2009,Nunavut,Total community admissions,836
2008/2009,Nunavut,Probation and conditional sentences,449
2008/2009,Nunavut,Probation,348
2008/2009,Nunavut,Conditional sentence,101
2008/2009,Nunavut,Other community programs,385
2008/2009,Nunavut,Unknown community admissions,2
2009/2010,All Provinces and territories,Total custodial admissions,254551
2009/2010,All Provinces and territories,Sentenced,82976
2009/2010,All Provinces and territories,Remand,153185
2009/2010,All Provinces and territories,Other custodial statuses,18390
2009/2010,All Provinces and territories,Total community admissions,156217
2009/2010,All Provinces and territories,Probation and conditional sentences,108042
2009/2010,All Provinces and territories,Probation,89545
2009/2010,All Provinces and territories,Conditional sentence,18497
2009/2010,All Provinces and territories,Other community programs,48174
2009/2010,All Provinces and territories,Unknown community admissions,1
2009/2010,Newfoundland and Labrador,Total custodial admissions,1978
2009/2010,Newfoundland and Labrador,Sentenced,1154
2009/2010,Newfoundland and Labrador,Remand,698
2009/2010,Newfoundland and Labrador,Other custodial statuses,126
2009/2010,Newfoundland and Labrador,Total community admissions,2018
2009/2010,Newfoundland and Labrador,Probation and conditional sentences,2018
2009/2010,Newfoundland and Labrador,Probation,1550
2009/2010,Newfoundland and Labrador,Conditional sentence,468
2009/2010,Newfoundland and Labrador,Other community programs,0
2009/2010,Newfoundland and Labrador,Unknown community admissions,0
2009/2010,Prince Edward Island,Total custodial admissions,862
2009/2010,Prince Edward Island,Sentenced,648
2009/2010,Prince Edward Island,Remand,214
2009/2010,Prince Edward Island,Other custodial statuses,
2009/2010,Prince Edward Island,Total community admissions,834
2009/2010,Prince Edward Island,Probation and conditional sentences,669
2009/2010,Prince Edward Island,Probation,636
2009/2010,Prince Edward Island,Conditional sentence,33
2009/2010,Prince Edward Island,Other community programs,165
2009/2010,Prince Edward Island,Unknown community admissions,0
2009/2010,Nova Scotia,Total custodial admissions,5229
2009/2010,Nova Scotia,Sentenced,2009
2009/2010,Nova Scotia,Remand,2945
2009/2010,Nova Scotia,Other custodial statuses,275
2009/2010,Nova Scotia,Total community admissions,6037
2009/2010,Nova Scotia,Probation and conditional sentences,4367
2009/2010,Nova Scotia,Probation,3495
2009/2010,Nova Scotia,Conditional sentence,872
2009/2010,Nova Scotia,Other community programs,1670
2009/2010,Nova Scotia,Unknown community admissions,0
2009/2010,New Brunswick,Total custodial admissions,5224
2009/2010,New Brunswick,Sentenced,2698
2009/2010,New Brunswick,Remand,1985
2009/2010,New Brunswick,Other custodial statuses,541
2009/2010,New Brunswick,Total community admissions,3073
2009/2010,New Brunswick,Probation and conditional sentences,2495
2009/2010,New Brunswick,Probation,1882
2009/2010,New Brunswick,Conditional sentence,613
2009/2010,New Brunswick,Other community programs,578
2009/2010,New Brunswick,Unknown community admissions,0
2009/2010,Quebec,Total custodial admissions,40827
2009/2010,Quebec,Sentenced,7845
2009/2010,Quebec,Remand,29932
2009/2010,Quebec,Other custodial statuses,3050
2009/2010,Quebec,Total community admissions,21663
2009/2010,Quebec,Probation and conditional sentences,13138
2009/2010,Quebec,Probation,9493
2009/2010,Quebec,Conditional sentence,3645
2009/2010,Quebec,Other community programs,8525
2009/2010,Quebec,Unknown community admissions,0
2009/2010,Ontario,Total custodial admissions,99575
2009/2010,Ontario,Sentenced,31451
2009/2010,Ontario,Remand,62669
2009/2010,Ontario,Other custodial statuses,5455
2009/2010,Ontario,Total community admissions,45084
2009/2010,Ontario,Probation and conditional sentences,44721
2009/2010,Ontario,Probation,39326
2009/2010,Ontario,Conditional sentence,5395
2009/2010,Ontario,Other community programs,363
2009/2010,Ontario,Unknown community admissions,0
2009/2010,Manitoba,Total custodial admissions,22435
2009/2010,Manitoba,Sentenced,4537
2009/2010,Manitoba,Remand,10836
2009/2010,Manitoba,Other custodial statuses,7062
2009/2010,Manitoba,Total community admissions,10638
2009/2010,Manitoba,Probation and conditional sentences,8069
2009/2010,Manitoba,Probation,6970
2009/2010,Manitoba,Conditional sentence,1099
2009/2010,Manitoba,Other community programs,2569
2009/2010,Manitoba,Unknown community admissions,0
2009/2010,Saskatchewan,Total custodial admissions,10405
2009/2010,Saskatchewan,Sentenced,3964
2009/2010,Saskatchewan,Remand,6262
2009/2010,Saskatchewan,Other custodial statuses,179
2009/2010,Saskatchewan,Total community admissions,7835
2009/2010,Saskatchewan,Probation and conditional sentences,5845
2009/2010,Saskatchewan,Probation,4260
2009/2010,Saskatchewan,Conditional sentence,1585
2009/2010,Saskatchewan,Other community programs,1990
2009/2010,Saskatchewan,Unknown community admissions,0
2009/2010,Alberta,Total custodial admissions,41431
2009/2010,Alberta,Sentenced,18740
2009/2010,Alberta,Remand,22691
2009/2010,Alberta,Other custodial statuses,0
2009/2010,Alberta,Total community admissions,22836
2009/2010,Alberta,Probation and conditional sentences,10992
2009/2010,Alberta,Probation,9752
2009/2010,Alberta,Conditional sentence,1240
2009/2010,Alberta,Other community programs,11844
2009/2010,Alberta,Unknown community admissions,0
2009/2010,British Columbia,Total custodial admissions,23803
2009/2010,British Columbia,Sentenced,8643
2009/2010,British Columbia,Remand,13477
2009/2010,British Columbia,Other custodial statuses,1683
2009/2010,British Columbia,Total community admissions,33878
2009/2010,British Columbia,Probation and conditional sentences,14415
2009/2010,British Columbia,Probation,11067
2009/2010,British Columbia,Conditional sentence,3348
2009/2010,British Columbia,Other community programs,19463
2009/2010,British Columbia,Unknown community admissions,0
2009/2010,Yukon,Total custodial admissions,687
2009/2010,Yukon,Sentenced,253
2009/2010,Yukon,Remand,415
2009/2010,Yukon,Other custodial statuses,19
2009/2010,Yukon,Total community admissions,909
2009/2010,Yukon,Probation and conditional sentences,397
2009/2010,Yukon,Probation,333
2009/2010,Yukon,Conditional sentence,64
2009/2010,Yukon,Other community programs,512
2009/2010,Yukon,Unknown community admissions,0
2009/2010,Northwest Territories,Total custodial admissions,1277
2009/2010,Northwest Territories,Sentenced,621
2009/2010,Northwest Territories,Remand,656
2009/2010,Northwest Territories,Other custodial statuses,
2009/2010,Northwest Territories,Total community admissions,508
2009/2010,Northwest Territories,Probation and conditional sentences,473
2009/2010,Northwest Territories,Probation,443
2009/2010,Northwest Territories,Conditional sentence,30
2009/2010,Northwest Territories,Other community programs,35
2009/2010,Northwest Territories,Unknown community admissions,0
2009/2010,Nunavut,Total custodial admissions,818
2009/2010,Nunavut,Sentenced,413
2009/2010,Nunavut,Remand,405
2009/2010,Nunavut,Total community admissions,904
2009/2010,Nunavut,Probation and conditional sentences,443
2009/2010,Nunavut,Probation,338
2009/2010,Nunavut,Conditional sentence,105
2009/2010,Nunavut,Other community programs,460
2009/2010,Nunavut,Unknown community admissions,1
2010/2011,All Provinces and territories,Total custodial admissions,250980
2010/2011,All Provinces and territories,Sentenced,83976
2010/2011,All Provinces and territories,Remand,148455
2010/2011,All Provinces and territories,Other custodial statuses,18549
2010/2011,All Provinces and territories,Total community admissions,152562
2010/2011,All Provinces and territories,Probation and conditional sentences,105115
2010/2011,All Provinces and territories,Probation,86918
2010/2011,All Provinces and territories,Conditional sentence,18197
2010/2011,All Provinces and territories,Other community programs,47442
2010/2011,All Provinces and territories,Unknown community admissions,5
2010/2011,Newfoundland and Labrador,Total custodial admissions,2030
2010/2011,Newfoundland and Labrador,Sentenced,1253
2010/2011,Newfoundland and Labrador,Remand,676
2010/2011,Newfoundland and Labrador,Other custodial statuses,101
2010/2011,Newfoundland and Labrador,Total community admissions,2169
2010/2011,Newfoundland and Labrador,Probation and conditional sentences,2169
2010/2011,Newfoundland and Labrador,Probation,1631
2010/2011,Newfoundland and Labrador,Conditional sentence,538
2010/2011,Newfoundland and Labrador,Other community programs,0
2010/2011,Newfoundland and Labrador,Unknown community admissions,0
2010/2011,Prince Edward Island,Total custodial admissions,948
2010/2011,Prince Edward Island,Sentenced,713
2010/2011,Prince Edward Island,Remand,235
2010/2011,Prince Edward Island,Other custodial statuses,
2010/2011,Prince Edward Island,Total community admissions,1154
2010/2011,Prince Edward Island,Probation and conditional sentences,970
2010/2011,Prince Edward Island,Probation,930
2010/2011,Prince Edward Island,Conditional sentence,40
2010/2011,Prince Edward Island,Other community programs,181
2010/2011,Prince Edward Island,Unknown community admissions,3
2010/2011,Nova Scotia,Total custodial admissions,5487
2010/2011,Nova Scotia,Sentenced,2246
2010/2011,Nova Scotia,Remand,2857
2010/2011,Nova Scotia,Other custodial statuses,384
2010/2011,Nova Scotia,Total community admissions,5960
2010/2011,Nova Scotia,Probation and conditional sentences,4250
2010/2011,Nova Scotia,Probation,3466
2010/2011,Nova Scotia,Conditional sentence,784
2010/2011,Nova Scotia,Other community programs,1710
2010/2011,Nova Scotia,Unknown community admissions,0
2010/2011,New Brunswick,Total custodial admissions,4923
2010/2011,New Brunswick,Sentenced,2527
2010/2011,New Brunswick,Remand,1965
2010/2011,New Brunswick,Other custodial statuses,431
2010/2011,New Brunswick,Total community admissions,2899
2010/2011,New Brunswick,Probation and conditional sentences,2337
2010/2011,New Brunswick,Probation,1739
2010/2011,New Brunswick,Conditional sentence,598
2010/2011,New Brunswick,Other community programs,562
2010/2011,New Brunswick,Unknown community admissions,0
2010/2011,Quebec,Total custodial admissions,40825
2010/2011,Quebec,Sentenced,8087
2010/2011,Quebec,Remand,29536
2010/2011,Quebec,Other custodial statuses,3202
2010/2011,Quebec,Total community admissions,20916
2010/2011,Quebec,Probation and conditional sentences,12279
2010/2011,Quebec,Probation,9036
2010/2011,Quebec,Conditional sentence,3243
2010/2011,Quebec,Other community programs,8637
2010/2011,Quebec,Unknown community admissions,0
2010/2011,Ontario,Total custodial admissions,95618
2010/2011,Ontario,Sentenced,31682
2010/2011,Ontario,Remand,58862
2010/2011,Ontario,Other custodial statuses,5074
2010/2011,Ontario,Total community admissions,43122
2010/2011,Ontario,Probation and conditional sentences,42813
2010/2011,Ontario,Probation,37406
2010/2011,Ontario,Conditional sentence,5407
2010/2011,Ontario,Other community programs,309
2010/2011,Ontario,Unknown community admissions,0
2010/2011,Manitoba,Total custodial admissions,24023
2010/2011,Manitoba,Sentenced,5328
2010/2011,Manitoba,Remand,11380
2010/2011,Manitoba,Other custodial statuses,7315
2010/2011,Manitoba,Total community admissions,11329
2010/2011,Manitoba,Probation and conditional sentences,8507
2010/2011,Manitoba,Probation,7341
2010/2011,Manitoba,Conditional sentence,1166
2010/2011,Manitoba,Other community programs,2822
2010/2011,Manitoba,Unknown community admissions,0
2010/2011,Saskatchewan,Total custodial admissions,11102
2010/2011,Saskatchewan,Sentenced,4441
2010/2011,Saskatchewan,Remand,6505
2010/2011,Saskatchewan,Other custodial statuses,156
2010/2011,Saskatchewan,Total community admissions,8255
2010/2011,Saskatchewan,Probation and conditional sentences,6072
2010/2011,Saskatchewan,Probation,4376
2010/2011,Saskatchewan,Conditional sentence,1696
2010/2011,Saskatchewan,Other community programs,2183
2010/2011,Saskatchewan,Unknown community admissions,0
2010/2011,Alberta,Total custodial admissions,39955
2010/2011,Alberta,Sentenced,17728
2010/2011,Alberta,Remand,22227
2010/2011,Alberta,Other custodial statuses,0
2010/2011,Alberta,Total community admissions,20808
2010/2011,Alberta,Probation and conditional sentences,10677
2010/2011,Alberta,Probation,9317
2010/2011,Alberta,Conditional sentence,1360
2010/2011,Alberta,Other community programs,10131
2010/2011,Alberta,Unknown community admissions,0
2010/2011,British Columbia,Total custodial admissions,23358
2010/2011,British Columbia,Sentenced,8678
2010/2011,British Columbia,Remand,12806
2010/2011,British Columbia,Other custodial statuses,1874
2010/2011,British Columbia,Total community admissions,33521
2010/2011,British Columbia,Probation and conditional sentences,13665
2010/2011,British Columbia,Probation,10534
2010/2011,British Columbia,Conditional sentence,3131
2010/2011,British Columbia,Other community programs,19856
2010/2011,British Columbia,Unknown community admissions,0
2010/2011,Yukon,Total custodial admissions,614
2010/2011,Yukon,Sentenced,245
2010/2011,Yukon,Remand,357
2010/2011,Yukon,Other custodial statuses,12
2010/2011,Yukon,Total community admissions,933
2010/2011,Yukon,Probation and conditional sentences,389
2010/2011,Yukon,Probation,296
2010/2011,Yukon,Conditional sentence,93
2010/2011,Yukon,Other community programs,544
2010/2011,Yukon,Unknown community admissions,0
2010/2011,Northwest Territories,Total custodial admissions,1337
2010/2011,Northwest Territories,Sentenced,654
2010/2011,Northwest Territories,Remand,683
2010/2011,Northwest Territories,Other custodial statuses,
2010/2011,Northwest Territories,Total community admissions,598
2010/2011,Northwest Territories,Probation and conditional sentences,571
2010/2011,Northwest Territories,Probation,522
2010/2011,Northwest Territories,Conditional sentence,49
2010/2011,Northwest Territories,Other community programs,27
2010/2011,Northwest Territories,Unknown community admissions,0
2010/2011,Nunavut,Total custodial admissions,760
2010/2011,Nunavut,Sentenced,394
2010/2011,Nunavut,Remand,366
2010/2011,Nunavut,Total community admissions,898
2010/2011,Nunavut,Probation and conditional sentences,416
2010/2011,Nunavut,Probation,324
2010/2011,Nunavut,Conditional sentence,92
2010/2011,Nunavut,Other community programs,480
2010/2011,Nunavut,Unknown community admissions,2
2011/2012,All Provinces and territories,Total custodial admissions,251629
2011/2012,All Provinces and territories,Sentenced,85013
2011/2012,All Provinces and territories,Remand,148135
2011/2012,All Provinces and territories,Other custodial statuses,18481
2011/2012,All Provinces and territories,Total community admissions,147486
2011/2012,All Provinces and territories,Probation and conditional sentences,101679
2011/2012,All Provinces and territories,Probation,83695
2011/2012,All Provinces and territories,Conditional sentence,17984
2011/2012,All Provinces and territories,Other community programs,45800
2011/2012,All Provinces and territories,Unknown community admissions,7
2011/2012,Newfoundland and Labrador,Total custodial admissions,1909
2011/2012,Newfoundland and Labrador,Sentenced,1209
2011/2012,Newfoundland and Labrador,Remand,592
2011/2012,Newfoundland and Labrador,Other custodial statuses,108
2011/2012,Newfoundland and Labrador,Total community admissions,2228
2011/2012,Newfoundland and Labrador,Probation and conditional sentences,2228
2011/2012,Newfoundland and Labrador,Probation,1649
2011/2012,Newfoundland and Labrador,Conditional sentence,579
2011/2012,Newfoundland and Labrador,Other community programs,0
2011/2012,Newfoundland and Labrador,Unknown community admissions,0
2011/2012,Prince Edward Island,Total custodial admissions,860
2011/2012,Prince Edward Island,Sentenced,682
2011/2012,Prince Edward Island,Remand,178
2011/2012,Prince Edward Island,Other custodial statuses,
2011/2012,Prince Edward Island,Total community admissions,1080
2011/2012,Prince Edward Island,Probation and conditional sentences,867
2011/2012,Prince Edward Island,Probation,840
2011/2012,Prince Edward Island,Conditional sentence,27
2011/2012,Prince Edward Island,Other community programs,211
2011/2012,Prince Edward Island,Unknown community admissions,2
2011/2012,Nova Scotia,Total custodial admissions,5747
2011/2012,Nova Scotia,Sentenced,2261
2011/2012,Nova Scotia,Remand,3145
2011/2012,Nova Scotia,Other custodial statuses,341
2011/2012,Nova Scotia,Total community admissions,5591
2011/2012,Nova Scotia,Probation and conditional sentences,4023
2011/2012,Nova Scotia,Probation,3200
2011/2012,Nova Scotia,Conditional sentence,823
2011/2012,Nova Scotia,Other community programs,1568
2011/2012,Nova Scotia,Unknown community admissions,0
2011/2012,New Brunswick,Total custodial admissions,5148
2011/2012,New Brunswick,Sentenced,2607
2011/2012,New Brunswick,Remand,2097
2011/2012,New Brunswick,Other custodial statuses,444
2011/2012,New Brunswick,Total community admissions,2873
2011/2012,New Brunswick,Probation and conditional sentences,2337
2011/2012,New Brunswick,Probation,1739
2011/2012,New Brunswick,Conditional sentence,598
2011/2012,New Brunswick,Other community programs,536
2011/2012,New Brunswick,Unknown community admissions,0
2011/2012,Quebec,Total custodial admissions,41749
2011/2012,Quebec,Sentenced,8082
2011/2012,Quebec,Remand,30481
2011/2012,Quebec,Other custodial statuses,3186
2011/2012,Quebec,Total community admissions,21858
2011/2012,Quebec,Probation and conditional sentences,12577
2011/2012,Quebec,Probation,9285
2011/2012,Quebec,Conditional sentence,3292
2011/2012,Quebec,Other community programs,9281
2011/2012,Quebec,Unknown community admissions,0
2011/2012,Ontario,Total custodial admissions,93605
2011/2012,Ontario,Sentenced,32065
2011/2012,Ontario,Remand,56302
2011/2012,Ontario,Other custodial statuses,5238
2011/2012,Ontario,Total community admissions,41392
2011/2012,Ontario,Probation and conditional sentences,41060
2011/2012,Ontario,Probation,35664
2011/2012,Ontario,Conditional sentence,5396
2011/2012,Ontario,Other community programs,332
2011/2012,Ontario,Unknown community admissions,0
2011/2012,Manitoba,Total custodial admissions,25787
2011/2012,Manitoba,Sentenced,5846
2011/2012,Manitoba,Remand,12423
2011/2012,Manitoba,Other custodial statuses,7518
2011/2012,Manitoba,Total community admissions,10681
2011/2012,Manitoba,Probation and conditional sentences,8793
2011/2012,Manitoba,Probation,7657
2011/2012,Manitoba,Conditional sentence,1136
2011/2012,Manitoba,Other community programs,1888
2011/2012,Manitoba,Unknown community admissions,0
2011/2012,Saskatchewan,Total custodial admissions,10929
2011/2012,Saskatchewan,Sentenced,4372
2011/2012,Saskatchewan,Remand,6400
2011/2012,Saskatchewan,Other custodial statuses,157
2011/2012,Saskatchewan,Total community admissions,8254
2011/2012,Saskatchewan,Probation and conditional sentences,5778
2011/2012,Saskatchewan,Probation,4185
2011/2012,Saskatchewan,Conditional sentence,1593
2011/2012,Saskatchewan,Other community programs,2476
2011/2012,Saskatchewan,Unknown community admissions,0
2011/2012,Alberta,Total custodial admissions,40125
2011/2012,Alberta,Sentenced,17719
2011/2012,Alberta,Remand,22406
2011/2012,Alberta,Other custodial statuses,0
2011/2012,Alberta,Total community admissions,18723
2011/2012,Alberta,Probation and conditional sentences,9878
2011/2012,Alberta,Probation,8487
2011/2012,Alberta,Conditional sentence,1391
2011/2012,Alberta,Other community programs,8845
2011/2012,Alberta,Unknown community admissions,0
2011/2012,British Columbia,Total custodial admissions,23130
2011/2012,British Columbia,Sentenced,8924
2011/2012,British Columbia,Remand,12726
2011/2012,British Columbia,Other custodial statuses,1480
2011/2012,British Columbia,Total community admissions,32359
2011/2012,British Columbia,Probation and conditional sentences,12872
2011/2012,British Columbia,Probation,9896
2011/2012,British Columbia,Conditional sentence,2976
2011/2012,British Columbia,Other community programs,19487
2011/2012,British Columbia,Unknown community admissions,0
2011/2012,Yukon,Total custodial admissions,707
2011/2012,Yukon,Sentenced,234
2011/2012,Yukon,Remand,464
2011/2012,Yukon,Other custodial statuses,9
2011/2012,Yukon,Total community admissions,953
2011/2012,Yukon,Probation and conditional sentences,399
2011/2012,Yukon,Probation,326
2011/2012,Yukon,Conditional sentence,73
2011/2012,Yukon,Other community programs,554
2011/2012,Yukon,Unknown community admissions,0
2011/2012,Northwest Territories,Total custodial admissions,1171
2011/2012,Northwest Territories,Sentenced,595
2011/2012,Northwest Territories,Remand,576
2011/2012,Northwest Territories,Other custodial statuses,
2011/2012,Northwest Territories,Total community admissions,547
2011/2012,Northwest Territories,Probation and conditional sentences,506
2011/2012,Northwest Territories,Probation,462
2011/2012,Northwest Territories,Conditional sentence,44
2011/2012,Northwest Territories,Other community programs,41
2011/2012,Northwest Territories,Unknown community admissions,0
2011/2012,Nunavut,Total custodial admissions,762
2011/2012,Nunavut,Sentenced,417
2011/2012,Nunavut,Remand,345
2011/2012,Nunavut,Total community admissions,947
2011/2012,Nunavut,Probation and conditional sentences,361
2011/2012,Nunavut,Probation,305
2011/2012,Nunavut,Conditional sentence,56
2011/2012,Nunavut,Other community programs,581
2011/2012,Nunavut,Unknown community admissions,5
2012/2013,All Provinces and territories,Total custodial admissions,208444
2012/2013,All Provinces and territories,Sentenced,65922
2012/2013,All Provinces and territories,Remand,123736
2012/2013,All Provinces and territories,Other custodial statuses,18786
2012/2013,All Provinces and territories,Total community admissions,127124
2012/2013,All Provinces and territories,Probation and conditional sentences,88450
2012/2013,All Provinces and territories,Probation,72725
2012/2013,All Provinces and territories,Conditional sentence,15725
2012/2013,All Provinces and territories,Other community programs,38669
2012/2013,All Provinces and territories,Unknown community admissions,5
2012/2013,Newfoundland and Labrador,Total custodial admissions,1896
2012/2013,Newfoundland and Labrador,Sentenced,1110
2012/2013,Newfoundland and Labrador,Remand,674
2012/2013,Newfoundland and Labrador,Other custodial statuses,112
2012/2013,Newfoundland and Labrador,Total community admissions,1935
2012/2013,Newfoundland and Labrador,Probation and conditional sentences,1935
2012/2013,Newfoundland and Labrador,Probation,1514
2012/2013,Newfoundland and Labrador,Conditional sentence,421
2012/2013,Newfoundland and Labrador,Other community programs,0
2012/2013,Newfoundland and Labrador,Unknown community admissions,0
2012/2013,Prince Edward Island,Total custodial admissions,799
2012/2013,Prince Edward Island,Sentenced,608
2012/2013,Prince Edward Island,Remand,189
2012/2013,Prince Edward Island,Other custodial statuses,2
2012/2013,Prince Edward Island,Total community admissions,1120
2012/2013,Prince Edward Island,Probation and conditional sentences,927
2012/2013,Prince Edward Island,Probation,908
2012/2013,Prince Edward Island,Conditional sentence,19
2012/2013,Prince Edward Island,Other community programs,190
2012/2013,Prince Edward Island,Unknown community admissions,3
2012/2013,Nova Scotia,Total custodial admissions,5433
2012/2013,Nova Scotia,Sentenced,2080
2012/2013,Nova Scotia,Remand,3055
2012/2013,Nova Scotia,Other custodial statuses,298
2012/2013,Nova Scotia,Total community admissions,5177
2012/2013,Nova Scotia,Probation and conditional sentences,3714
2012/2013,Nova Scotia,Probation,2909
2012/2013,Nova Scotia,Conditional sentence,805
2012/2013,Nova Scotia,Other community programs,1463
2012/2013,Nova Scotia,Unknown community admissions,0
2012/2013,New Brunswick,Total custodial admissions,5220
2012/2013,New Brunswick,Sentenced,2590
2012/2013,New Brunswick,Remand,2240
2012/2013,New Brunswick,Other custodial statuses,390
2012/2013,New Brunswick,Total community admissions,2806
2012/2013,New Brunswick,Probation and conditional sentences,2330
2012/2013,New Brunswick,Probation,1767
2012/2013,New Brunswick,Conditional sentence,563
2012/2013,New Brunswick,Other community programs,476
2012/2013,New Brunswick,Unknown community admissions,0
2012/2013,Quebec,Total custodial admissions,42720
2012/2013,Quebec,Sentenced,8416
2012/2013,Quebec,Remand,30989
2012/2013,Quebec,Other custodial statuses,3315
2012/2013,Quebec,Total community admissions,22511
2012/2013,Quebec,Probation and conditional sentences,12673
2012/2013,Quebec,Probation,9381
2012/2013,Quebec,Conditional sentence,3292
2012/2013,Quebec,Other community programs,9838
2012/2013,Quebec,Unknown community admissions,0
2012/2013,Ontario,Total custodial admissions,88331
2012/2013,Ontario,Sentenced,30349
2012/2013,Ontario,Remand,52744
2012/2013,Ontario,Other custodial statuses,5238
2012/2013,Ontario,Total community admissions,38764
2012/2013,Ontario,Probation and conditional sentences,38460
2012/2013,Ontario,Probation,33711
2012/2013,Ontario,Conditional sentence,4749
2012/2013,Ontario,Other community programs,304
2012/2013,Ontario,Unknown community admissions,0
2012/2013,Manitoba,Total custodial admissions,27376
2012/2013,Manitoba,Sentenced,6220
2012/2013,Manitoba,Remand,13351
2012/2013,Manitoba,Other custodial statuses,7805
2012/2013,Manitoba,Total community admissions,11055
2012/2013,Manitoba,Probation and conditional sentences,9020
2012/2013,Manitoba,Probation,7917
2012/2013,Manitoba,Conditional sentence,1103
2012/2013,Manitoba,Other community programs,2035
2012/2013,Manitoba,Unknown community admissions,0
2012/2013,Saskatchewan,Total custodial admissions,11340
2012/2013,Saskatchewan,Sentenced,4418
2012/2013,Saskatchewan,Remand,6722
2012/2013,Saskatchewan,Other custodial statuses,200
2012/2013,Saskatchewan,Total community admissions,9826
2012/2013,Saskatchewan,Probation and conditional sentences,5747
2012/2013,Saskatchewan,Probation,4125
2012/2013,Saskatchewan,Conditional sentence,1622
2012/2013,Saskatchewan,Other community programs,4079
2012/2013,Saskatchewan,Unknown community admissions,0
2012/2013,Alberta,Total custodial admissions,
2012/2013,Alberta,Sentenced,
2012/2013,Alberta,Remand,
2012/2013,Alberta,Other custodial statuses,
2012/2013,Alberta,Total community admissions,
2012/2013,Alberta,Probation and conditional sentences,
2012/2013,Alberta,Probation,
2012/2013,Alberta,Conditional sentence,
2012/2013,Alberta,Other community programs,
2012/2013,Alberta,Unknown community admissions,
2012/2013,British Columbia,Total custodial admissions,22611
2012/2013,British Columbia,Sentenced,8907
2012/2013,British Columbia,Remand,12289
2012/2013,British Columbia,Other custodial statuses,1415
2012/2013,British Columbia,Total community admissions,31359
2012/2013,British Columbia,Probation and conditional sentences,12370
2012/2013,British Columbia,Probation,9425
2012/2013,British Columbia,Conditional sentence,2945
2012/2013,British Columbia,Other community programs,18989
2012/2013,British Columbia,Unknown community admissions,0
2012/2013,Yukon,Total custodial admissions,807
2012/2013,Yukon,Sentenced,272
2012/2013,Yukon,Remand,524
2012/2013,Yukon,Other custodial statuses,11
2012/2013,Yukon,Total community admissions,1136
2012/2013,Yukon,Probation and conditional sentences,410
2012/2013,Yukon,Probation,322
2012/2013,Yukon,Conditional sentence,88
2012/2013,Yukon,Other community programs,726
2012/2013,Yukon,Unknown community admissions,0
2012/2013,Northwest Territories,Total custodial admissions,1043
2012/2013,Northwest Territories,Sentenced,523
2012/2013,Northwest Territories,Remand,520
2012/2013,Northwest Territories,Other custodial statuses,
2012/2013,Northwest Territories,Total community admissions,483
2012/2013,Northwest Territories,Probation and conditional sentences,443
2012/2013,Northwest Territories,Probation,397
2012/2013,Northwest Territories,Conditional sentence,46
2012/2013,Northwest Territories,Other community programs,40
2012/2013,Northwest Territories,Unknown community admissions,0
2012/2013,Nunavut,Total custodial admissions,868
2012/2013,Nunavut,Sentenced,429
2012/2013,Nunavut,Remand,439
2012/2013,Nunavut,Total community admissions,952
2012/2013,Nunavut,Probation and conditional sentences,421
2012/2013,Nunavut,Probation,349
2012/2013,Nunavut,Conditional sentence,72
2012/2013,Nunavut,Other community programs,529
2012/2013,Nunavut,Unknown community admissions,2
2013/2014,All Provinces and territories,Total custodial admissions,201099
2013/2014,All Provinces and territories,Sentenced,64604
2013/2014,All Provinces and territories,Remand,118512
2013/2014,All Provinces and territories,Other custodial statuses,17983
2013/2014,All Provinces and territories,Total community admissions,124850
2013/2014,All Provinces and territories,Probation and conditional sentences,85041
2013/2014,All Provinces and territories,Probation,70418
2013/2014,All Provinces and territories,Conditional sentence,14623
2013/2014,All Provinces and territories,Other community programs,39805
2013/2014,All Provinces and territories,Unknown community admissions,4
2013/2014,Newfoundland and Labrador,Total custodial admissions,1901
2013/2014,Newfoundland and Labrador,Sentenced,1085
2013/2014,Newfoundland and Labrador,Remand,719
2013/2014,Newfoundland and Labrador,Other custodial statuses,97
2013/2014,Newfoundland and Labrador,Total community admissions,1863
2013/2014,Newfoundland and Labrador,Probation and conditional sentences,1863
2013/2014,Newfoundland and Labrador,Probation,1427
2013/2014,Newfoundland and Labrador,Conditional sentence,436
2013/2014,Newfoundland and Labrador,Other community programs,0
2013/2014,Newfoundland and Labrador,Unknown community admissions,0
