REF_DATE,GEO,Custodial admissions,Age group,VALUE
2000/2001,Nova Scotia,Sentenced,"Total, custodial admissions by age group",1624
2000/2001,Nova Scotia,Sentenced,18 to 19 years,148
2000/2001,Nova Scotia,Sentenced,20 to 24 years,377
2000/2001,Nova Scotia,Sentenced,25 to 29 years,265
2000/2001,Nova Scotia,Sentenced,30 to 34 years,241
2000/2001,Nova Scotia,Sentenced,35 to 39 years,228
2000/2001,Nova Scotia,Sentenced,40 to 44 years,154
2000/2001,Nova Scotia,Sentenced,45 to 49 years,109
2000/2001,Nova Scotia,Sentenced,50 years and over,102
2000/2001,Nova Scotia,Sentenced,Age unknown,0
2000/2001,Nova Scotia,Sentenced,Median age on admission,30
2000/2001,Nova Scotia,Remand,"Total, custodial admissions by age group",1758
2000/2001,Nova Scotia,Remand,18 to 19 years,190
2000/2001,Nova Scotia,Remand,20 to 24 years,367
2000/2001,Nova Scotia,Remand,25 to 29 years,266
2000/2001,Nova Scotia,Remand,30 to 34 years,239
2000/2001,Nova Scotia,Remand,35 to 39 years,305
2000/2001,Nova Scotia,Remand,40 to 44 years,172
2000/2001,Nova Scotia,Remand,45 to 49 years,126
2000/2001,Nova Scotia,Remand,50 years and over,91
2000/2001,Nova Scotia,Remand,Age unknown,2
2000/2001,Nova Scotia,Remand,Median age on admission,31
2000/2001,Nova Scotia,Other custodial statuses,"Total, custodial admissions by age group",406
2000/2001,Nova Scotia,Other custodial statuses,18 to 19 years,25
2000/2001,Nova Scotia,Other custodial statuses,20 to 24 years,95
2000/2001,Nova Scotia,Other custodial statuses,25 to 29 years,58
2000/2001,Nova Scotia,Other custodial statuses,30 to 34 years,78
2000/2001,Nova Scotia,Other custodial statuses,35 to 39 years,65
2000/2001,Nova Scotia,Other custodial statuses,40 to 44 years,50
2000/2001,Nova Scotia,Other custodial statuses,45 to 49 years,21
2000/2001,Nova Scotia,Other custodial statuses,50 years and over,14
2000/2001,Nova Scotia,Other custodial statuses,Age unknown,0
2000/2001,Nova Scotia,Other custodial statuses,Median age on admission,
2000/2001,New Brunswick,"Total, custodial admissions","Total, custodial admissions by age group",
2000/2001,New Brunswick,"Total, custodial admissions",18 to 19 years,
2000/2001,New Brunswick,"Total, custodial admissions",20 to 24 years,
2000/2001,New Brunswick,"Total, custodial admissions",25 to 29 years,
2000/2001,New Brunswick,"Total, custodial admissions",30 to 34 years,
2000/2001,New Brunswick,"Total, custodial admissions",35 to 39 years,
2000/2001,New Brunswick,"Total, custodial admissions",40 to 44 years,
2000/2001,New Brunswick,"Total, custodial admissions",45 to 49 years,
2000/2001,New Brunswick,"Total, custodial admissions",50 years and over,
2000/2001,New Brunswick,"Total, custodial admissions",Age unknown,
2000/2001,New Brunswick,Sentenced,"Total, custodial admissions by age group",
2000/2001,New Brunswick,Sentenced,18 to 19 years,
2000/2001,New Brunswick,Sentenced,20 to 24 years,
2000/2001,New Brunswick,Sentenced,25 to 29 years,
2000/2001,New Brunswick,Sentenced,30 to 34 years,
2000/2001,New Brunswick,Sentenced,35 to 39 years,
2000/2001,New Brunswick,Sentenced,40 to 44 years,
2000/2001,New Brunswick,Sentenced,45 to 49 years,
