REF_DATE,GEO,Custodial admissions,Age group,VALUE
2012/2013,Northwest Territories,"Total, custodial admissions",18 to 19 years,55
2012/2013,Northwest Territories,"Total, custodial admissions",20 to 24 years,234
2012/2013,Northwest Territories,"Total, custodial admissions",25 to 29 years,204
2012/2013,Northwest Territories,"Total, custodial admissions",30 to 34 years,185
2012/2013,Northwest Territories,"Total, custodial admissions",35 to 39 years,106
2012/2013,Northwest Territories,"Total, custodial admissions",40 to 44 years,108
2012/2013,Northwest Territories,"Total, custodial admissions",45 to 49 years,85
2012/2013,Northwest Territories,"Total, custodial admissions",50 years and over,66
2012/2013,Northwest Territories,"Total, custodial admissions",Age unknown,0
2012/2013,Northwest Territories,Sentenced,"Total, custodial admissions by age group",523
2012/2013,Northwest Territories,Sentenced,18 to 19 years,22
2012/2013,Northwest Territories,Sentenced,20 to 24 years,122
2012/2013,Northwest Territories,Sentenced,25 to 29 years,104
2012/2013,Northwest Territories,Sentenced,30 to 34 years,94
2012/2013,Northwest Territories,Sentenced,35 to 39 years,46
2012/2013,Northwest Territories,Sentenced,40 to 44 years,53
2012/2013,Northwest Territories,Sentenced,45 to 49 years,39
2012/2013,Northwest Territories,Sentenced,50 years and over,43
2012/2013,Northwest Territories,Sentenced,Age unknown,0
2012/2013,Northwest Territories,Sentenced,Median age on admission,29
2012/2013,Northwest Territories,Remand,"Total, custodial admissions by age group",520
2012/2013,Northwest Territories,Remand,18 to 19 years,33
2012/2013,Northwest Territories,Remand,20 to 24 years,112
2012/2013,Northwest Territories,Remand,25 to 29 years,100
2012/2013,Northwest Territories,Remand,30 to 34 years,91
2012/2013,Northwest Territories,Remand,35 to 39 years,60
2012/2013,Northwest Territories,Remand,40 to 44 years,55
2012/2013,Northwest Territories,Remand,45 to 49 years,46
2012/2013,Northwest Territories,Remand,50 years and over,23
2012/2013,Northwest Territories,Remand,Age unknown,0
2012/2013,Northwest Territories,Remand,Median age on admission,29
2012/2013,Northwest Territories,Other custodial statuses,"Total, custodial admissions by age group",
2012/2013,Northwest Territories,Other custodial statuses,18 to 19 years,
2012/2013,Northwest Territories,Other custodial statuses,20 to 24 years,
2012/2013,Northwest Territories,Other custodial statuses,25 to 29 years,
2012/2013,Northwest Territories,Other custodial statuses,30 to 34 years,
2012/2013,Northwest Territories,Other custodial statuses,35 to 39 years,
2012/2013,Northwest Territories,Other custodial statuses,40 to 44 years,
2012/2013,Northwest Territories,Other custodial statuses,45 to 49 years,
2012/2013,Northwest Territories,Other custodial statuses,50 years and over,
2012/2013,Northwest Territories,Other custodial statuses,Age unknown,
2012/2013,Northwest Territories,Other custodial statuses,Median age on admission,
2012/2013,Nunavut,"Total, custodial admissions","Total, custodial admissions by age group",868
2012/2013,Nunavut,"Total, custodial admissions",18 to 19 years,37
2012/2013,Nunavut,"Total, custodial admissions",20 to 24 years,193
2012/2013,Nunavut,"Total, custodial admissions",25 to 29 years,230
2012/2013,Nunavut,"Total, custodial admissions",30 to 34 years,141
2012/2013,Nunavut,"Total, custodial admissions",35 to 39 years,100
2012/2013,Nunavut,"Total, custodial admissions",40 to 44 years,78
2012/2013,Nunavut,"Total, custodial admissions",45 to 49 years,47
2012/2013,Nunavut,"Total, custodial admissions",50 years and over,42
2012/2013,Nunavut,"Total, custodial admissions",Age unknown,0
2012/2013,Nunavut,Sentenced,"Total, custodial admissions by age group",429
2012/2013,Nunavut,Sentenced,18 to 19 years,13
2012/2013,Nunavut,Sentenced,20 to 24 years,98
2012/2013,Nunavut,Sentenced,25 to 29 years,114
2012/2013,Nunavut,Sentenced,30 to 34 years,64
2012/2013,Nunavut,Sentenced,35 to 39 years,52
2012/2013,Nunavut,Sentenced,40 to 44 years,46
2012/2013,Nunavut,Sentenced,45 to 49 years,20
2012/2013,Nunavut,Sentenced,50 years and over,22
2012/2013,Nunavut,Sentenced,Age unknown,0
2012/2013,Nunavut,Sentenced,Median age on admission,29
2012/2013,Nunavut,Remand,"Total, custodial admissions by age group",439
2012/2013,Nunavut,Remand,18 to 19 years,24
2012/2013,Nunavut,Remand,20 to 24 years,95
2012/2013,Nunavut,Remand,25 to 29 years,116
2012/2013,Nunavut,Remand,30 to 34 years,77
2012/2013,Nunavut,Remand,35 to 39 years,48
2012/2013,Nunavut,Remand,40 to 44 years,32
2012/2013,Nunavut,Remand,45 to 49 years,27
2012/2013,Nunavut,Remand,50 years and over,20
2012/2013,Nunavut,Remand,Age unknown,0
2012/2013,Nunavut,Remand,Median age on admission,29
2013/2014,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by age group",201099
2013/2014,All Provinces and territories,"Total, custodial admissions",18 to 19 years,11352
2013/2014,All Provinces and territories,"Total, custodial admissions",20 to 24 years,38031
2013/2014,All Provinces and territories,"Total, custodial admissions",25 to 29 years,36577
2013/2014,All Provinces and territories,"Total, custodial admissions",30 to 34 years,31560
2013/2014,All Provinces and territories,"Total, custodial admissions",35 to 39 years,23936
2013/2014,All Provinces and territories,"Total, custodial admissions",40 to 44 years,20605
2013/2014,All Provinces and territories,"Total, custodial admissions",45 to 49 years,17138
2013/2014,All Provinces and territories,"Total, custodial admissions",50 years and over,21715
2013/2014,All Provinces and territories,"Total, custodial admissions",Age unknown,185
2013/2014,All Provinces and territories,Sentenced,"Total, custodial admissions by age group",64604
2013/2014,All Provinces and territories,Sentenced,18 to 19 years,2352
2013/2014,All Provinces and territories,Sentenced,20 to 24 years,11688
2013/2014,All Provinces and territories,Sentenced,25 to 29 years,11737
2013/2014,All Provinces and territories,Sentenced,30 to 34 years,10220
2013/2014,All Provinces and territories,Sentenced,35 to 39 years,8006
2013/2014,All Provinces and territories,Sentenced,40 to 44 years,6975
2013/2014,All Provinces and territories,Sentenced,45 to 49 years,5753
2013/2014,All Provinces and territories,Sentenced,50 years and over,7847
2013/2014,All Provinces and territories,Sentenced,Age unknown,26
2013/2014,All Provinces and territories,Remand,"Total, custodial admissions by age group",118512
2013/2014,All Provinces and territories,Remand,18 to 19 years,7955
2013/2014,All Provinces and territories,Remand,20 to 24 years,22996
2013/2014,All Provinces and territories,Remand,25 to 29 years,21418
2013/2014,All Provinces and territories,Remand,30 to 34 years,18451
2013/2014,All Provinces and territories,Remand,35 to 39 years,13859
2013/2014,All Provinces and territories,Remand,40 to 44 years,11845
2013/2014,All Provinces and territories,Remand,45 to 49 years,9891
2013/2014,All Provinces and territories,Remand,50 years and over,12062
2013/2014,All Provinces and territories,Remand,Age unknown,35
2013/2014,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by age group",17983
2013/2014,All Provinces and territories,Other custodial statuses,18 to 19 years,1045
2013/2014,All Provinces and territories,Other custodial statuses,20 to 24 years,3347
2013/2014,All Provinces and territories,Other custodial statuses,25 to 29 years,3422
2013/2014,All Provinces and territories,Other custodial statuses,30 to 34 years,2889
2013/2014,All Provinces and territories,Other custodial statuses,35 to 39 years,2071
2013/2014,All Provinces and territories,Other custodial statuses,40 to 44 years,1785
2013/2014,All Provinces and territories,Other custodial statuses,45 to 49 years,1494
2013/2014,All Provinces and territories,Other custodial statuses,50 years and over,1806
2013/2014,All Provinces and territories,Other custodial statuses,Age unknown,124
2013/2014,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by age group",1901
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",18 to 19 years,83
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",20 to 24 years,395
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",25 to 29 years,372
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",30 to 34 years,324
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",35 to 39 years,234
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",40 to 44 years,161
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",45 to 49 years,122
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",50 years and over,210
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",Age unknown,0
2013/2014,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by age group",1085
2013/2014,Newfoundland and Labrador,Sentenced,18 to 19 years,40
2013/2014,Newfoundland and Labrador,Sentenced,20 to 24 years,214
2013/2014,Newfoundland and Labrador,Sentenced,25 to 29 years,196
2013/2014,Newfoundland and Labrador,Sentenced,30 to 34 years,174
2013/2014,Newfoundland and Labrador,Sentenced,35 to 39 years,136
2013/2014,Newfoundland and Labrador,Sentenced,40 to 44 years,109
2013/2014,Newfoundland and Labrador,Sentenced,45 to 49 years,84
2013/2014,Newfoundland and Labrador,Sentenced,50 years and over,132
2013/2014,Newfoundland and Labrador,Sentenced,Age unknown,0
2013/2014,Newfoundland and Labrador,Sentenced,Median age on admission,31
2013/2014,Newfoundland and Labrador,Remand,"Total, custodial admissions by age group",719
2013/2014,Newfoundland and Labrador,Remand,18 to 19 years,43
2013/2014,Newfoundland and Labrador,Remand,20 to 24 years,160
2013/2014,Newfoundland and Labrador,Remand,25 to 29 years,153
2013/2014,Newfoundland and Labrador,Remand,30 to 34 years,136
2013/2014,Newfoundland and Labrador,Remand,35 to 39 years,82
2013/2014,Newfoundland and Labrador,Remand,40 to 44 years,45
2013/2014,Newfoundland and Labrador,Remand,45 to 49 years,32
2013/2014,Newfoundland and Labrador,Remand,50 years and over,68
2013/2014,Newfoundland and Labrador,Remand,Age unknown,0
2013/2014,Newfoundland and Labrador,Remand,Median age on admission,30
2013/2014,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by age group",97
2013/2014,Newfoundland and Labrador,Other custodial statuses,18 to 19 years,0
2013/2014,Newfoundland and Labrador,Other custodial statuses,20 to 24 years,21
2013/2014,Newfoundland and Labrador,Other custodial statuses,25 to 29 years,23
2013/2014,Newfoundland and Labrador,Other custodial statuses,30 to 34 years,14
2013/2014,Newfoundland and Labrador,Other custodial statuses,35 to 39 years,16
2013/2014,Newfoundland and Labrador,Other custodial statuses,40 to 44 years,7
2013/2014,Newfoundland and Labrador,Other custodial statuses,45 to 49 years,6
2013/2014,Newfoundland and Labrador,Other custodial statuses,50 years and over,10
2013/2014,Newfoundland and Labrador,Other custodial statuses,Age unknown,0
2013/2014,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by age group",779
2013/2014,Prince Edward Island,"Total, custodial admissions",18 to 19 years,28
2013/2014,Prince Edward Island,"Total, custodial admissions",20 to 24 years,189
2013/2014,Prince Edward Island,"Total, custodial admissions",25 to 29 years,126
2013/2014,Prince Edward Island,"Total, custodial admissions",30 to 34 years,108
2013/2014,Prince Edward Island,"Total, custodial admissions",35 to 39 years,78
2013/2014,Prince Edward Island,"Total, custodial admissions",40 to 44 years,77
2013/2014,Prince Edward Island,"Total, custodial admissions",45 to 49 years,55
2013/2014,Prince Edward Island,"Total, custodial admissions",50 years and over,116
2013/2014,Prince Edward Island,"Total, custodial admissions",Age unknown,2
2013/2014,Prince Edward Island,Sentenced,"Total, custodial admissions by age group",562
2013/2014,Prince Edward Island,Sentenced,18 to 19 years,24
2013/2014,Prince Edward Island,Sentenced,20 to 24 years,126
2013/2014,Prince Edward Island,Sentenced,25 to 29 years,88
2013/2014,Prince Edward Island,Sentenced,30 to 34 years,78
2013/2014,Prince Edward Island,Sentenced,35 to 39 years,49
2013/2014,Prince Edward Island,Sentenced,40 to 44 years,57
2013/2014,Prince Edward Island,Sentenced,45 to 49 years,40
2013/2014,Prince Edward Island,Sentenced,50 years and over,99
2013/2014,Prince Edward Island,Sentenced,Age unknown,1
2013/2014,Prince Edward Island,Remand,"Total, custodial admissions by age group",216
2013/2014,Prince Edward Island,Remand,18 to 19 years,4
2013/2014,Prince Edward Island,Remand,20 to 24 years,62
2013/2014,Prince Edward Island,Remand,25 to 29 years,38
2013/2014,Prince Edward Island,Remand,30 to 34 years,30
2013/2014,Prince Edward Island,Remand,35 to 39 years,29
2013/2014,Prince Edward Island,Remand,40 to 44 years,20
2013/2014,Prince Edward Island,Remand,45 to 49 years,15
2013/2014,Prince Edward Island,Remand,50 years and over,17
2013/2014,Prince Edward Island,Remand,Age unknown,1
2013/2014,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by age group",1
2013/2014,Prince Edward Island,Other custodial statuses,18 to 19 years,0
2013/2014,Prince Edward Island,Other custodial statuses,20 to 24 years,1
2013/2014,Prince Edward Island,Other custodial statuses,25 to 29 years,0
2013/2014,Prince Edward Island,Other custodial statuses,30 to 34 years,0
2013/2014,Prince Edward Island,Other custodial statuses,35 to 39 years,0
2013/2014,Prince Edward Island,Other custodial statuses,40 to 44 years,0
2013/2014,Prince Edward Island,Other custodial statuses,45 to 49 years,0
2013/2014,Prince Edward Island,Other custodial statuses,50 years and over,0
2013/2014,Prince Edward Island,Other custodial statuses,Age unknown,0
2013/2014,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by age group",5403
2013/2014,Nova Scotia,"Total, custodial admissions",18 to 19 years,362
2013/2014,Nova Scotia,"Total, custodial admissions",20 to 24 years,1168
2013/2014,Nova Scotia,"Total, custodial admissions",25 to 29 years,997
2013/2014,Nova Scotia,"Total, custodial admissions",30 to 34 years,723
2013/2014,Nova Scotia,"Total, custodial admissions",35 to 39 years,596
2013/2014,Nova Scotia,"Total, custodial admissions",40 to 44 years,537
2013/2014,Nova Scotia,"Total, custodial admissions",45 to 49 years,434
2013/2014,Nova Scotia,"Total, custodial admissions",50 years and over,571
2013/2014,Nova Scotia,"Total, custodial admissions",Age unknown,15
2013/2014,Nova Scotia,Sentenced,"Total, custodial admissions by age group",2053
2013/2014,Nova Scotia,Sentenced,18 to 19 years,104
2013/2014,Nova Scotia,Sentenced,20 to 24 years,432
2013/2014,Nova Scotia,Sentenced,25 to 29 years,373
2013/2014,Nova Scotia,Sentenced,30 to 34 years,277
2013/2014,Nova Scotia,Sentenced,35 to 39 years,233
2013/2014,Nova Scotia,Sentenced,40 to 44 years,204
2013/2014,Nova Scotia,Sentenced,45 to 49 years,164
2013/2014,Nova Scotia,Sentenced,50 years and over,251
2013/2014,Nova Scotia,Sentenced,Age unknown,15
2013/2014,Nova Scotia,Sentenced,Median age on admission,30
2013/2014,Nova Scotia,Remand,"Total, custodial admissions by age group",3093
2013/2014,Nova Scotia,Remand,18 to 19 years,256
2013/2014,Nova Scotia,Remand,20 to 24 years,691
2013/2014,Nova Scotia,Remand,25 to 29 years,565
2013/2014,Nova Scotia,Remand,30 to 34 years,402
2013/2014,Nova Scotia,Remand,35 to 39 years,335
2013/2014,Nova Scotia,Remand,40 to 44 years,304
2013/2014,Nova Scotia,Remand,45 to 49 years,247
2013/2014,Nova Scotia,Remand,50 years and over,293
2013/2014,Nova Scotia,Remand,Age unknown,0
2013/2014,Nova Scotia,Remand,Median age on admission,30
2013/2014,Nova Scotia,Other custodial statuses,"Total, custodial admissions by age group",257
2013/2014,Nova Scotia,Other custodial statuses,18 to 19 years,2
2013/2014,Nova Scotia,Other custodial statuses,20 to 24 years,45
2013/2014,Nova Scotia,Other custodial statuses,25 to 29 years,59
2013/2014,Nova Scotia,Other custodial statuses,30 to 34 years,44
2013/2014,Nova Scotia,Other custodial statuses,35 to 39 years,28
2013/2014,Nova Scotia,Other custodial statuses,40 to 44 years,29
2013/2014,Nova Scotia,Other custodial statuses,45 to 49 years,23
2013/2014,Nova Scotia,Other custodial statuses,50 years and over,27
2013/2014,Nova Scotia,Other custodial statuses,Age unknown,0
2013/2014,Nova Scotia,Other custodial statuses,Median age on admission,
2013/2014,New Brunswick,"Total, custodial admissions","Total, custodial admissions by age group",4799
2013/2014,New Brunswick,"Total, custodial admissions",18 to 19 years,241
2013/2014,New Brunswick,"Total, custodial admissions",20 to 24 years,841
2013/2014,New Brunswick,"Total, custodial admissions",25 to 29 years,888
2013/2014,New Brunswick,"Total, custodial admissions",30 to 34 years,767
2013/2014,New Brunswick,"Total, custodial admissions",35 to 39 years,612
2013/2014,New Brunswick,"Total, custodial admissions",40 to 44 years,459
2013/2014,New Brunswick,"Total, custodial admissions",45 to 49 years,372
2013/2014,New Brunswick,"Total, custodial admissions",50 years and over,619
2013/2014,New Brunswick,"Total, custodial admissions",Age unknown,0
2013/2014,New Brunswick,Sentenced,"Total, custodial admissions by age group",2278
2013/2014,New Brunswick,Sentenced,18 to 19 years,74
2013/2014,New Brunswick,Sentenced,20 to 24 years,381
2013/2014,New Brunswick,Sentenced,25 to 29 years,417
2013/2014,New Brunswick,Sentenced,30 to 34 years,358
2013/2014,New Brunswick,Sentenced,35 to 39 years,299
2013/2014,New Brunswick,Sentenced,40 to 44 years,250
2013/2014,New Brunswick,Sentenced,45 to 49 years,165
2013/2014,New Brunswick,Sentenced,50 years and over,334
2013/2014,New Brunswick,Sentenced,Age unknown,0
2013/2014,New Brunswick,Sentenced,Median age on admission,33
2013/2014,New Brunswick,Remand,"Total, custodial admissions by age group",2054
2013/2014,New Brunswick,Remand,18 to 19 years,155
2013/2014,New Brunswick,Remand,20 to 24 years,386
2013/2014,New Brunswick,Remand,25 to 29 years,379
2013/2014,New Brunswick,Remand,30 to 34 years,326
2013/2014,New Brunswick,Remand,35 to 39 years,247
2013/2014,New Brunswick,Remand,40 to 44 years,169
2013/2014,New Brunswick,Remand,45 to 49 years,169
2013/2014,New Brunswick,Remand,50 years and over,223
2013/2014,New Brunswick,Remand,Age unknown,0
2013/2014,New Brunswick,Remand,Median age on admission,31
2013/2014,New Brunswick,Other custodial statuses,"Total, custodial admissions by age group",467
2013/2014,New Brunswick,Other custodial statuses,18 to 19 years,12
2013/2014,New Brunswick,Other custodial statuses,20 to 24 years,74
2013/2014,New Brunswick,Other custodial statuses,25 to 29 years,92
2013/2014,New Brunswick,Other custodial statuses,30 to 34 years,83
2013/2014,New Brunswick,Other custodial statuses,35 to 39 years,66
2013/2014,New Brunswick,Other custodial statuses,40 to 44 years,40
2013/2014,New Brunswick,Other custodial statuses,45 to 49 years,38
2013/2014,New Brunswick,Other custodial statuses,50 years and over,62
2013/2014,New Brunswick,Other custodial statuses,Age unknown,0
2013/2014,Quebec,"Total, custodial admissions","Total, custodial admissions by age group",43561
2013/2014,Quebec,"Total, custodial admissions",18 to 19 years,2045
2013/2014,Quebec,"Total, custodial admissions",20 to 24 years,7848
2013/2014,Quebec,"Total, custodial admissions",25 to 29 years,6916
2013/2014,Quebec,"Total, custodial admissions",30 to 34 years,6354
2013/2014,Quebec,"Total, custodial admissions",35 to 39 years,5239
2013/2014,Quebec,"Total, custodial admissions",40 to 44 years,4550
2013/2014,Quebec,"Total, custodial admissions",45 to 49 years,4288
2013/2014,Quebec,"Total, custodial admissions",50 years and over,6319
2013/2014,Quebec,"Total, custodial admissions",Age unknown,2
2013/2014,Quebec,Sentenced,"Total, custodial admissions by age group",9752
2013/2014,Quebec,Sentenced,18 to 19 years,165
2013/2014,Quebec,Sentenced,20 to 24 years,1626
2013/2014,Quebec,Sentenced,25 to 29 years,1511
2013/2014,Quebec,Sentenced,30 to 34 years,1423
2013/2014,Quebec,Sentenced,35 to 39 years,1138
2013/2014,Quebec,Sentenced,40 to 44 years,1039
2013/2014,Quebec,Sentenced,45 to 49 years,1032
2013/2014,Quebec,Sentenced,50 years and over,1818
2013/2014,Quebec,Sentenced,Age unknown,0
2013/2014,Quebec,Sentenced,Median age on admission,35
2013/2014,Quebec,Remand,"Total, custodial admissions by age group",30556
2013/2014,Quebec,Remand,18 to 19 years,1658
2013/2014,Quebec,Remand,20 to 24 years,5517
2013/2014,Quebec,Remand,25 to 29 years,4882
2013/2014,Quebec,Remand,30 to 34 years,4466
2013/2014,Quebec,Remand,35 to 39 years,3725
2013/2014,Quebec,Remand,40 to 44 years,3201
2013/2014,Quebec,Remand,45 to 49 years,3013
2013/2014,Quebec,Remand,50 years and over,4092
2013/2014,Quebec,Remand,Age unknown,2
2013/2014,Quebec,Remand,Median age on admission,33
2013/2014,Quebec,Other custodial statuses,"Total, custodial admissions by age group",3253
2013/2014,Quebec,Other custodial statuses,18 to 19 years,222
2013/2014,Quebec,Other custodial statuses,20 to 24 years,705
2013/2014,Quebec,Other custodial statuses,25 to 29 years,523
2013/2014,Quebec,Other custodial statuses,30 to 34 years,465
2013/2014,Quebec,Other custodial statuses,35 to 39 years,376
2013/2014,Quebec,Other custodial statuses,40 to 44 years,310
2013/2014,Quebec,Other custodial statuses,45 to 49 years,243
2013/2014,Quebec,Other custodial statuses,50 years and over,409
2013/2014,Quebec,Other custodial statuses,Age unknown,0
2013/2014,Quebec,Other custodial statuses,Median age on admission,31
2013/2014,Ontario,"Total, custodial admissions","Total, custodial admissions by age group",80700
2013/2014,Ontario,"Total, custodial admissions",18 to 19 years,4414
2013/2014,Ontario,"Total, custodial admissions",20 to 24 years,14793
2013/2014,Ontario,"Total, custodial admissions",25 to 29 years,14549
2013/2014,Ontario,"Total, custodial admissions",30 to 34 years,12786
2013/2014,Ontario,"Total, custodial admissions",35 to 39 years,9587
2013/2014,Ontario,"Total, custodial admissions",40 to 44 years,8391
2013/2014,Ontario,"Total, custodial admissions",45 to 49 years,7230
2013/2014,Ontario,"Total, custodial admissions",50 years and over,8940
2013/2014,Ontario,"Total, custodial admissions",Age unknown,10
2013/2014,Ontario,Sentenced,"Total, custodial admissions by age group",27724
2013/2014,Ontario,Sentenced,18 to 19 years,1006
2013/2014,Ontario,Sentenced,20 to 24 years,4841
2013/2014,Ontario,Sentenced,25 to 29 years,4967
2013/2014,Ontario,Sentenced,30 to 34 years,4428
2013/2014,Ontario,Sentenced,35 to 39 years,3456
2013/2014,Ontario,Sentenced,40 to 44 years,3041
2013/2014,Ontario,Sentenced,45 to 49 years,2630
2013/2014,Ontario,Sentenced,50 years and over,3354
2013/2014,Ontario,Sentenced,Age unknown,1
2013/2014,Ontario,Sentenced,Median age on admission,32
2013/2014,Ontario,Remand,"Total, custodial admissions by age group",48328
2013/2014,Ontario,Remand,18 to 19 years,3289
2013/2014,Ontario,Remand,20 to 24 years,9236
2013/2014,Ontario,Remand,25 to 29 years,8729
2013/2014,Ontario,Remand,30 to 34 years,7561
2013/2014,Ontario,Remand,35 to 39 years,5536
2013/2014,Ontario,Remand,40 to 44 years,4824
2013/2014,Ontario,Remand,45 to 49 years,4143
2013/2014,Ontario,Remand,50 years and over,5002
2013/2014,Ontario,Remand,Age unknown,8
2013/2014,Ontario,Remand,Median age on admission,31
2013/2014,Ontario,Other custodial statuses,"Total, custodial admissions by age group",4648
2013/2014,Ontario,Other custodial statuses,18 to 19 years,119
2013/2014,Ontario,Other custodial statuses,20 to 24 years,716
2013/2014,Ontario,Other custodial statuses,25 to 29 years,853
2013/2014,Ontario,Other custodial statuses,30 to 34 years,797
2013/2014,Ontario,Other custodial statuses,35 to 39 years,595
2013/2014,Ontario,Other custodial statuses,40 to 44 years,526
2013/2014,Ontario,Other custodial statuses,45 to 49 years,457
2013/2014,Ontario,Other custodial statuses,50 years and over,584
2013/2014,Ontario,Other custodial statuses,Age unknown,1
2013/2014,Ontario,Other custodial statuses,Median age on admission,
2013/2014,Manitoba,"Total, custodial admissions","Total, custodial admissions by age group",27082
2013/2014,Manitoba,"Total, custodial admissions",18 to 19 years,2460
2013/2014,Manitoba,"Total, custodial admissions",20 to 24 years,6241
2013/2014,Manitoba,"Total, custodial admissions",25 to 29 years,5680
2013/2014,Manitoba,"Total, custodial admissions",30 to 34 years,4303
2013/2014,Manitoba,"Total, custodial admissions",35 to 39 years,2837
2013/2014,Manitoba,"Total, custodial admissions",40 to 44 years,2233
2013/2014,Manitoba,"Total, custodial admissions",45 to 49 years,1558
2013/2014,Manitoba,"Total, custodial admissions",50 years and over,1618
2013/2014,Manitoba,"Total, custodial admissions",Age unknown,152
2013/2014,Manitoba,Sentenced,"Total, custodial admissions by age group",6316
2013/2014,Manitoba,Sentenced,18 to 19 years,429
2013/2014,Manitoba,Sentenced,20 to 24 years,1534
2013/2014,Manitoba,Sentenced,25 to 29 years,1364
2013/2014,Manitoba,Sentenced,30 to 34 years,1053
2013/2014,Manitoba,Sentenced,35 to 39 years,697
2013/2014,Manitoba,Sentenced,40 to 44 years,527
2013/2014,Manitoba,Sentenced,45 to 49 years,332
2013/2014,Manitoba,Sentenced,50 years and over,371
2013/2014,Manitoba,Sentenced,Age unknown,9
2013/2014,Manitoba,Sentenced,Median age on admission,29
2013/2014,Manitoba,Remand,"Total, custodial admissions by age group",13123
2013/2014,Manitoba,Remand,18 to 19 years,1348
2013/2014,Manitoba,Remand,20 to 24 years,3140
2013/2014,Manitoba,Remand,25 to 29 years,2739
2013/2014,Manitoba,Remand,30 to 34 years,2060
2013/2014,Manitoba,Remand,35 to 39 years,1375
2013/2014,Manitoba,Remand,40 to 44 years,1041
2013/2014,Manitoba,Remand,45 to 49 years,663
2013/2014,Manitoba,Remand,50 years and over,737
2013/2014,Manitoba,Remand,Age unknown,20
2013/2014,Manitoba,Remand,Median age on admission,28
2013/2014,Manitoba,Other custodial statuses,"Total, custodial admissions by age group",7643
2013/2014,Manitoba,Other custodial statuses,18 to 19 years,683
2013/2014,Manitoba,Other custodial statuses,20 to 24 years,1567
2013/2014,Manitoba,Other custodial statuses,25 to 29 years,1577
2013/2014,Manitoba,Other custodial statuses,30 to 34 years,1190
2013/2014,Manitoba,Other custodial statuses,35 to 39 years,765
2013/2014,Manitoba,Other custodial statuses,40 to 44 years,665
2013/2014,Manitoba,Other custodial statuses,45 to 49 years,563
2013/2014,Manitoba,Other custodial statuses,50 years and over,510
2013/2014,Manitoba,Other custodial statuses,Age unknown,123
2013/2014,Manitoba,Other custodial statuses,Median age on admission,29
2013/2014,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by age group",11677
2013/2014,Saskatchewan,"Total, custodial admissions",18 to 19 years,921
2013/2014,Saskatchewan,"Total, custodial admissions",20 to 24 years,2750
2013/2014,Saskatchewan,"Total, custodial admissions",25 to 29 years,2436
2013/2014,Saskatchewan,"Total, custodial admissions",30 to 34 years,1720
2013/2014,Saskatchewan,"Total, custodial admissions",35 to 39 years,1238
2013/2014,Saskatchewan,"Total, custodial admissions",40 to 44 years,1021
2013/2014,Saskatchewan,"Total, custodial admissions",45 to 49 years,743
2013/2014,Saskatchewan,"Total, custodial admissions",50 years and over,845
2013/2014,Saskatchewan,"Total, custodial admissions",Age unknown,3
2013/2014,Saskatchewan,Sentenced,"Total, custodial admissions by age group",4501
2013/2014,Saskatchewan,Sentenced,18 to 19 years,233
2013/2014,Saskatchewan,Sentenced,20 to 24 years,969
2013/2014,Saskatchewan,Sentenced,25 to 29 years,930
2013/2014,Saskatchewan,Sentenced,30 to 34 years,654
2013/2014,Saskatchewan,Sentenced,35 to 39 years,524
2013/2014,Saskatchewan,Sentenced,40 to 44 years,429
2013/2014,Saskatchewan,Sentenced,45 to 49 years,326
2013/2014,Saskatchewan,Sentenced,50 years and over,436
2013/2014,Saskatchewan,Sentenced,Age unknown,0
2013/2014,Saskatchewan,Sentenced,Median age on admission,30
2013/2014,Saskatchewan,Remand,"Total, custodial admissions by age group",6862
2013/2014,Saskatchewan,Remand,18 to 19 years,687
2013/2014,Saskatchewan,Remand,20 to 24 years,1718
2013/2014,Saskatchewan,Remand,25 to 29 years,1430
2013/2014,Saskatchewan,Remand,30 to 34 years,1022
2013/2014,Saskatchewan,Remand,35 to 39 years,681
2013/2014,Saskatchewan,Remand,40 to 44 years,559
2013/2014,Saskatchewan,Remand,45 to 49 years,390
2013/2014,Saskatchewan,Remand,50 years and over,372
2013/2014,Saskatchewan,Remand,Age unknown,3
2013/2014,Saskatchewan,Remand,Median age on admission,28
2013/2014,Saskatchewan,Other custodial statuses,"Total, custodial admissions by age group",314
2013/2014,Saskatchewan,Other custodial statuses,18 to 19 years,1
2013/2014,Saskatchewan,Other custodial statuses,20 to 24 years,63
2013/2014,Saskatchewan,Other custodial statuses,25 to 29 years,76
