REF_DATE,GEO,Initial entry status,VALUE
2007/2008,Alberta,Secure custody,45
2007/2008,Alberta,Custody and supervision (secure),45
2007/2008,Alberta,Young Offenders Act (YOA) (secure),
2007/2008,Alberta,Open custody,9
2007/2008,Alberta,Custody and supervision (open),9
2007/2008,Alberta,Young Offenders Act (YOA) (open),
2007/2008,Alberta,Total community sentences,
2007/2008,Alberta,Intensive support and supervision,
2007/2008,Alberta,Deferred custody and supervision,
2007/2008,Alberta,Supervised probation,
2007/2008,Alberta,Other community sentences,
2007/2008,British Columbia,Total correctional services,3242
2007/2008,British Columbia,Pre-trial detention,157
2007/2008,British Columbia,Secure custody,7
2007/2008,British Columbia,Custody and supervision (secure),7
2007/2008,British Columbia,Young Offenders Act (YOA) (secure),
2007/2008,British Columbia,Open custody,11
2007/2008,British Columbia,Custody and supervision (open),11
2007/2008,British Columbia,Young Offenders Act (YOA) (open),
2007/2008,British Columbia,Total community sentences,3067
2007/2008,British Columbia,Intensive support and supervision,42
2007/2008,British Columbia,Deferred custody and supervision,23
2007/2008,British Columbia,Supervised probation,846
2007/2008,British Columbia,Other community sentences,2156
2007/2008,Yukon,Total correctional services,64
2007/2008,Yukon,Pre-trial detention,33
2007/2008,Yukon,Secure custody,0
2007/2008,Yukon,Custody and supervision (secure),0
2007/2008,Yukon,Young Offenders Act (YOA) (secure),
2007/2008,Yukon,Open custody,1
2007/2008,Yukon,Custody and supervision (open),1
2007/2008,Yukon,Young Offenders Act (YOA) (open),
2007/2008,Yukon,Total community sentences,30
2007/2008,Yukon,Intensive support and supervision,0
2007/2008,Yukon,Deferred custody and supervision,1
2007/2008,Yukon,Supervised probation,10
2007/2008,Yukon,Other community sentences,19
2007/2008,Northwest Territories including Nunavut,Total correctional services,
2007/2008,Northwest Territories including Nunavut,Pre-trial detention,
2007/2008,Northwest Territories including Nunavut,Secure custody,
2007/2008,Northwest Territories including Nunavut,Custody and supervision (secure),
2007/2008,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2007/2008,Northwest Territories including Nunavut,Open custody,
2007/2008,Northwest Territories including Nunavut,Custody and supervision (open),
2007/2008,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2007/2008,Northwest Territories including Nunavut,Total community sentences,
2007/2008,Northwest Territories including Nunavut,Intensive support and supervision,
2007/2008,Northwest Territories including Nunavut,Deferred custody and supervision,
2007/2008,Northwest Territories including Nunavut,Supervised probation,
2007/2008,Northwest Territories including Nunavut,Other community sentences,
2007/2008,Northwest Territories,Total correctional services,92
2007/2008,Northwest Territories,Pre-trial detention,15
2007/2008,Northwest Territories,Secure custody,2
2007/2008,Northwest Territories,Custody and supervision (secure),2
2007/2008,Northwest Territories,Young Offenders Act (YOA) (secure),
2007/2008,Northwest Territories,Open custody,3
2007/2008,Northwest Territories,Custody and supervision (open),3
2007/2008,Northwest Territories,Young Offenders Act (YOA) (open),
2007/2008,Northwest Territories,Total community sentences,72
2007/2008,Northwest Territories,Intensive support and supervision,2
2007/2008,Northwest Territories,Deferred custody and supervision,0
2007/2008,Northwest Territories,Supervised probation,70
2007/2008,Northwest Territories,Other community sentences,
2007/2008,Nunavut,Total correctional services,73
2007/2008,Nunavut,Pre-trial detention,6
2007/2008,Nunavut,Secure custody,3
2007/2008,Nunavut,Custody and supervision (secure),3
2007/2008,Nunavut,Young Offenders Act (YOA) (secure),
2007/2008,Nunavut,Open custody,0
2007/2008,Nunavut,Custody and supervision (open),0
2007/2008,Nunavut,Young Offenders Act (YOA) (open),
2007/2008,Nunavut,Total community sentences,64
2007/2008,Nunavut,Intensive support and supervision,
2007/2008,Nunavut,Deferred custody and supervision,
2007/2008,Nunavut,Supervised probation,62
2007/2008,Nunavut,Other community sentences,2
2008/2009,Provinces and territories,Total correctional services,20700
2008/2009,Provinces and territories,Pre-trial detention,8309
2008/2009,Provinces and territories,Secure custody,227
2008/2009,Provinces and territories,Custody and supervision (secure),221
2008/2009,Provinces and territories,Young Offenders Act (YOA) (secure),1
2008/2009,Provinces and territories,Open custody,270
2008/2009,Provinces and territories,Custody and supervision (open),269
2008/2009,Provinces and territories,Young Offenders Act (YOA) (open),0
2008/2009,Provinces and territories,Total community sentences,11894
2008/2009,Provinces and territories,Intensive support and supervision,56
2008/2009,Provinces and territories,Deferred custody and supervision,325
2008/2009,Provinces and territories,Supervised probation,8198
2008/2009,Provinces and territories,Other community sentences,3315
2008/2009,Newfoundland and Labrador,Total correctional services,258
2008/2009,Newfoundland and Labrador,Pre-trial detention,9
2008/2009,Newfoundland and Labrador,Secure custody,3
2008/2009,Newfoundland and Labrador,Custody and supervision (secure),3
2008/2009,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2008/2009,Newfoundland and Labrador,Open custody,4
2008/2009,Newfoundland and Labrador,Custody and supervision (open),4
2008/2009,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2008/2009,Newfoundland and Labrador,Total community sentences,242
2008/2009,Newfoundland and Labrador,Intensive support and supervision,1
2008/2009,Newfoundland and Labrador,Deferred custody and supervision,2
2008/2009,Newfoundland and Labrador,Supervised probation,202
2008/2009,Newfoundland and Labrador,Other community sentences,37
2008/2009,Prince Edward Island,Total correctional services,
2008/2009,Prince Edward Island,Pre-trial detention,
2008/2009,Prince Edward Island,Secure custody,
2008/2009,Prince Edward Island,Custody and supervision (secure),
2008/2009,Prince Edward Island,Young Offenders Act (YOA) (secure),
2008/2009,Prince Edward Island,Open custody,
2008/2009,Prince Edward Island,Custody and supervision (open),
2008/2009,Prince Edward Island,Young Offenders Act (YOA) (open),
2008/2009,Prince Edward Island,Total community sentences,
2008/2009,Prince Edward Island,Intensive support and supervision,
2008/2009,Prince Edward Island,Deferred custody and supervision,
2008/2009,Prince Edward Island,Supervised probation,
2008/2009,Prince Edward Island,Other community sentences,
2008/2009,Nova Scotia,Total correctional services,469
2008/2009,Nova Scotia,Pre-trial detention,324
2008/2009,Nova Scotia,Secure custody,2
2008/2009,Nova Scotia,Custody and supervision (secure),2
2008/2009,Nova Scotia,Young Offenders Act (YOA) (secure),
2008/2009,Nova Scotia,Open custody,63
2008/2009,Nova Scotia,Custody and supervision (open),63
2008/2009,Nova Scotia,Young Offenders Act (YOA) (open),0
2008/2009,Nova Scotia,Total community sentences,80
2008/2009,Nova Scotia,Intensive support and supervision,
2008/2009,Nova Scotia,Deferred custody and supervision,80
2008/2009,Nova Scotia,Supervised probation,
2008/2009,Nova Scotia,Other community sentences,
2008/2009,New Brunswick,Total correctional services,674
2008/2009,New Brunswick,Pre-trial detention,125
2008/2009,New Brunswick,Secure custody,8
2008/2009,New Brunswick,Custody and supervision (secure),7
2008/2009,New Brunswick,Young Offenders Act (YOA) (secure),1
2008/2009,New Brunswick,Open custody,3
2008/2009,New Brunswick,Custody and supervision (open),3
2008/2009,New Brunswick,Young Offenders Act (YOA) (open),0
2008/2009,New Brunswick,Total community sentences,538
2008/2009,New Brunswick,Intensive support and supervision,
2008/2009,New Brunswick,Deferred custody and supervision,16
2008/2009,New Brunswick,Supervised probation,342
2008/2009,New Brunswick,Other community sentences,180
2008/2009,Quebec,Total correctional services,
2008/2009,Quebec,Pre-trial detention,
2008/2009,Quebec,Secure custody,
2008/2009,Quebec,Custody and supervision (secure),
2008/2009,Quebec,Young Offenders Act (YOA) (secure),
2008/2009,Quebec,Open custody,
2008/2009,Quebec,Custody and supervision (open),
2008/2009,Quebec,Young Offenders Act (YOA) (open),
2008/2009,Quebec,Total community sentences,
2008/2009,Quebec,Intensive support and supervision,
2008/2009,Quebec,Deferred custody and supervision,
2008/2009,Quebec,Supervised probation,
2008/2009,Quebec,Other community sentences,
2008/2009,Ontario,Total correctional services,10018
2008/2009,Ontario,Pre-trial detention,3877
2008/2009,Ontario,Secure custody,43
2008/2009,Ontario,Custody and supervision (secure),42
2008/2009,Ontario,Young Offenders Act (YOA) (secure),
2008/2009,Ontario,Open custody,58
2008/2009,Ontario,Custody and supervision (open),58
2008/2009,Ontario,Young Offenders Act (YOA) (open),0
2008/2009,Ontario,Total community sentences,6040
2008/2009,Ontario,Intensive support and supervision,1
2008/2009,Ontario,Deferred custody and supervision,119
2008/2009,Ontario,Supervised probation,5803
2008/2009,Ontario,Other community sentences,117
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,
2008/2009,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,
2008/2009,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
2008/2009,Manitoba,Total correctional services,3983
2008/2009,Manitoba,Pre-trial detention,1831
2008/2009,Manitoba,Secure custody,105
2008/2009,Manitoba,Custody and supervision (secure),101
2008/2009,Manitoba,Young Offenders Act (YOA) (secure),0
2008/2009,Manitoba,Open custody,121
2008/2009,Manitoba,Custody and supervision (open),120
2008/2009,Manitoba,Young Offenders Act (YOA) (open),0
2008/2009,Manitoba,Total community sentences,1926
2008/2009,Manitoba,Intensive support and supervision,
2008/2009,Manitoba,Deferred custody and supervision,89
2008/2009,Manitoba,Supervised probation,1032
2008/2009,Manitoba,Other community sentences,805
2008/2009,Saskatchewan,Total correctional services,
2008/2009,Saskatchewan,Pre-trial detention,
2008/2009,Saskatchewan,Secure custody,
2008/2009,Saskatchewan,Custody and supervision (secure),
2008/2009,Saskatchewan,Young Offenders Act (YOA) (secure),
2008/2009,Saskatchewan,Open custody,
2008/2009,Saskatchewan,Custody and supervision (open),
2008/2009,Saskatchewan,Young Offenders Act (YOA) (open),
2008/2009,Saskatchewan,Total community sentences,
2008/2009,Saskatchewan,Intensive support and supervision,
2008/2009,Saskatchewan,Deferred custody and supervision,
2008/2009,Saskatchewan,Supervised probation,
2008/2009,Saskatchewan,Other community sentences,
2008/2009,Alberta,Total correctional services,2043
2008/2009,Alberta,Pre-trial detention,1975
2008/2009,Alberta,Secure custody,57
2008/2009,Alberta,Custody and supervision (secure),57
2008/2009,Alberta,Young Offenders Act (YOA) (secure),
2008/2009,Alberta,Open custody,11
2008/2009,Alberta,Custody and supervision (open),11
2008/2009,Alberta,Young Offenders Act (YOA) (open),
2008/2009,Alberta,Total community sentences,
2008/2009,Alberta,Intensive support and supervision,
2008/2009,Alberta,Deferred custody and supervision,
2008/2009,Alberta,Supervised probation,
2008/2009,Alberta,Other community sentences,
2008/2009,British Columbia,Total correctional services,3056
2008/2009,British Columbia,Pre-trial detention,126
2008/2009,British Columbia,Secure custody,4
2008/2009,British Columbia,Custody and supervision (secure),4
2008/2009,British Columbia,Young Offenders Act (YOA) (secure),
2008/2009,British Columbia,Open custody,5
2008/2009,British Columbia,Custody and supervision (open),5
2008/2009,British Columbia,Young Offenders Act (YOA) (open),
2008/2009,British Columbia,Total community sentences,2921
2008/2009,British Columbia,Intensive support and supervision,54
2008/2009,British Columbia,Deferred custody and supervision,18
2008/2009,British Columbia,Supervised probation,689
2008/2009,British Columbia,Other community sentences,2160
2008/2009,Yukon,Total correctional services,36
2008/2009,Yukon,Pre-trial detention,10
2008/2009,Yukon,Secure custody,1
2008/2009,Yukon,Custody and supervision (secure),1
2008/2009,Yukon,Young Offenders Act (YOA) (secure),
2008/2009,Yukon,Open custody,0
2008/2009,Yukon,Custody and supervision (open),0
2008/2009,Yukon,Young Offenders Act (YOA) (open),
2008/2009,Yukon,Total community sentences,25
2008/2009,Yukon,Intensive support and supervision,0
2008/2009,Yukon,Deferred custody and supervision,1
2008/2009,Yukon,Supervised probation,11
2008/2009,Yukon,Other community sentences,13
2008/2009,Northwest Territories including Nunavut,Total correctional services,
2008/2009,Northwest Territories including Nunavut,Pre-trial detention,
2008/2009,Northwest Territories including Nunavut,Secure custody,
2008/2009,Northwest Territories including Nunavut,Custody and supervision (secure),
2008/2009,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2008/2009,Northwest Territories including Nunavut,Open custody,
2008/2009,Northwest Territories including Nunavut,Custody and supervision (open),
2008/2009,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2008/2009,Northwest Territories including Nunavut,Total community sentences,
2008/2009,Northwest Territories including Nunavut,Intensive support and supervision,
2008/2009,Northwest Territories including Nunavut,Deferred custody and supervision,
2008/2009,Northwest Territories including Nunavut,Supervised probation,
2008/2009,Northwest Territories including Nunavut,Other community sentences,
2008/2009,Northwest Territories,Total correctional services,83
2008/2009,Northwest Territories,Pre-trial detention,15
2008/2009,Northwest Territories,Secure custody,3
2008/2009,Northwest Territories,Custody and supervision (secure),3
2008/2009,Northwest Territories,Young Offenders Act (YOA) (secure),
2008/2009,Northwest Territories,Open custody,1
2008/2009,Northwest Territories,Custody and supervision (open),1
2008/2009,Northwest Territories,Young Offenders Act (YOA) (open),
2008/2009,Northwest Territories,Total community sentences,64
2008/2009,Northwest Territories,Intensive support and supervision,0
2008/2009,Northwest Territories,Deferred custody and supervision,0
2008/2009,Northwest Territories,Supervised probation,64
2008/2009,Northwest Territories,Other community sentences,
2008/2009,Nunavut,Total correctional services,80
2008/2009,Nunavut,Pre-trial detention,17
2008/2009,Nunavut,Secure custody,1
2008/2009,Nunavut,Custody and supervision (secure),1
2008/2009,Nunavut,Young Offenders Act (YOA) (secure),
2008/2009,Nunavut,Open custody,4
2008/2009,Nunavut,Custody and supervision (open),4
2008/2009,Nunavut,Young Offenders Act (YOA) (open),
2008/2009,Nunavut,Total community sentences,58
2008/2009,Nunavut,Intensive support and supervision,
2008/2009,Nunavut,Deferred custody and supervision,
2008/2009,Nunavut,Supervised probation,55
2008/2009,Nunavut,Other community sentences,3
2009/2010,Provinces and territories,Total correctional services,19099
2009/2010,Provinces and territories,Pre-trial detention,7754
2009/2010,Provinces and territories,Secure custody,196
2009/2010,Provinces and territories,Custody and supervision (secure),194
2009/2010,Provinces and territories,Young Offenders Act (YOA) (secure),0
2009/2010,Provinces and territories,Open custody,180
2009/2010,Provinces and territories,Custody and supervision (open),179
2009/2010,Provinces and territories,Young Offenders Act (YOA) (open),0
2009/2010,Provinces and territories,Total community sentences,10969
2009/2010,Provinces and territories,Intensive support and supervision,26
2009/2010,Provinces and territories,Deferred custody and supervision,232
2009/2010,Provinces and territories,Supervised probation,7641
2009/2010,Provinces and territories,Other community sentences,3070
2009/2010,Newfoundland and Labrador,Total correctional services,225
2009/2010,Newfoundland and Labrador,Pre-trial detention,4
2009/2010,Newfoundland and Labrador,Secure custody,1
2009/2010,Newfoundland and Labrador,Custody and supervision (secure),1
2009/2010,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2009/2010,Newfoundland and Labrador,Open custody,3
2009/2010,Newfoundland and Labrador,Custody and supervision (open),3
2009/2010,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2009/2010,Newfoundland and Labrador,Total community sentences,217
2009/2010,Newfoundland and Labrador,Intensive support and supervision,0
2009/2010,Newfoundland and Labrador,Deferred custody and supervision,1
2009/2010,Newfoundland and Labrador,Supervised probation,182
2009/2010,Newfoundland and Labrador,Other community sentences,34
2009/2010,Prince Edward Island,Total correctional services,49
2009/2010,Prince Edward Island,Pre-trial detention,31
2009/2010,Prince Edward Island,Secure custody,10
2009/2010,Prince Edward Island,Custody and supervision (secure),10
2009/2010,Prince Edward Island,Young Offenders Act (YOA) (secure),0
2009/2010,Prince Edward Island,Open custody,8
2009/2010,Prince Edward Island,Custody and supervision (open),8
2009/2010,Prince Edward Island,Young Offenders Act (YOA) (open),0
2009/2010,Prince Edward Island,Total community sentences,
2009/2010,Prince Edward Island,Intensive support and supervision,
2009/2010,Prince Edward Island,Deferred custody and supervision,
2009/2010,Prince Edward Island,Supervised probation,
2009/2010,Prince Edward Island,Other community sentences,
2009/2010,Nova Scotia,Total correctional services,
2009/2010,Nova Scotia,Pre-trial detention,
2009/2010,Nova Scotia,Secure custody,
2009/2010,Nova Scotia,Custody and supervision (secure),
2009/2010,Nova Scotia,Young Offenders Act (YOA) (secure),
2009/2010,Nova Scotia,Open custody,
2009/2010,Nova Scotia,Custody and supervision (open),
2009/2010,Nova Scotia,Young Offenders Act (YOA) (open),
2009/2010,Nova Scotia,Total community sentences,
2009/2010,Nova Scotia,Intensive support and supervision,
2009/2010,Nova Scotia,Deferred custody and supervision,
2009/2010,Nova Scotia,Supervised probation,
2009/2010,Nova Scotia,Other community sentences,
2009/2010,New Brunswick,Total correctional services,682
2009/2010,New Brunswick,Pre-trial detention,128
2009/2010,New Brunswick,Secure custody,4
2009/2010,New Brunswick,Custody and supervision (secure),4
2009/2010,New Brunswick,Young Offenders Act (YOA) (secure),0
2009/2010,New Brunswick,Open custody,3
2009/2010,New Brunswick,Custody and supervision (open),3
2009/2010,New Brunswick,Young Offenders Act (YOA) (open),0
2009/2010,New Brunswick,Total community sentences,547
2009/2010,New Brunswick,Intensive support and supervision,
2009/2010,New Brunswick,Deferred custody and supervision,19
2009/2010,New Brunswick,Supervised probation,361
2009/2010,New Brunswick,Other community sentences,167
2009/2010,Quebec,Total correctional services,
2009/2010,Quebec,Pre-trial detention,
2009/2010,Quebec,Secure custody,
2009/2010,Quebec,Custody and supervision (secure),
2009/2010,Quebec,Young Offenders Act (YOA) (secure),
2009/2010,Quebec,Open custody,
2009/2010,Quebec,Custody and supervision (open),
2009/2010,Quebec,Young Offenders Act (YOA) (open),
2009/2010,Quebec,Total community sentences,
2009/2010,Quebec,Intensive support and supervision,
2009/2010,Quebec,Deferred custody and supervision,
2009/2010,Quebec,Supervised probation,
2009/2010,Quebec,Other community sentences,
2009/2010,Ontario,Total correctional services,9059
2009/2010,Ontario,Pre-trial detention,3415
2009/2010,Ontario,Secure custody,36
2009/2010,Ontario,Custody and supervision (secure),36
2009/2010,Ontario,Young Offenders Act (YOA) (secure),
2009/2010,Ontario,Open custody,50
2009/2010,Ontario,Custody and supervision (open),50
2009/2010,Ontario,Young Offenders Act (YOA) (open),0
2009/2010,Ontario,Total community sentences,5558
2009/2010,Ontario,Intensive support and supervision,2
2009/2010,Ontario,Deferred custody and supervision,122
2009/2010,Ontario,Supervised probation,5314
2009/2010,Ontario,Other community sentences,120
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,
2009/2010,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,
2009/2010,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
2009/2010,Manitoba,Total correctional services,4287
2009/2010,Manitoba,Pre-trial detention,2028
2009/2010,Manitoba,Secure custody,100
2009/2010,Manitoba,Custody and supervision (secure),98
2009/2010,Manitoba,Young Offenders Act (YOA) (secure),0
2009/2010,Manitoba,Open custody,92
2009/2010,Manitoba,Custody and supervision (open),91
2009/2010,Manitoba,Young Offenders Act (YOA) (open),0
2009/2010,Manitoba,Total community sentences,2067
2009/2010,Manitoba,Intensive support and supervision,
2009/2010,Manitoba,Deferred custody and supervision,73
2009/2010,Manitoba,Supervised probation,1031
2009/2010,Manitoba,Other community sentences,963
2009/2010,Saskatchewan,Total correctional services,
2009/2010,Saskatchewan,Pre-trial detention,
2009/2010,Saskatchewan,Secure custody,
2009/2010,Saskatchewan,Custody and supervision (secure),
2009/2010,Saskatchewan,Young Offenders Act (YOA) (secure),
2009/2010,Saskatchewan,Open custody,
2009/2010,Saskatchewan,Custody and supervision (open),
2009/2010,Saskatchewan,Young Offenders Act (YOA) (open),
2009/2010,Saskatchewan,Total community sentences,
2009/2010,Saskatchewan,Intensive support and supervision,
2009/2010,Saskatchewan,Deferred custody and supervision,
2009/2010,Saskatchewan,Supervised probation,
2009/2010,Saskatchewan,Other community sentences,
2009/2010,Alberta,Total correctional services,2001
2009/2010,Alberta,Pre-trial detention,1946
2009/2010,Alberta,Secure custody,38
2009/2010,Alberta,Custody and supervision (secure),38
2009/2010,Alberta,Young Offenders Act (YOA) (secure),
2009/2010,Alberta,Open custody,17
2009/2010,Alberta,Custody and supervision (open),17
2009/2010,Alberta,Young Offenders Act (YOA) (open),
2009/2010,Alberta,Total community sentences,
2009/2010,Alberta,Intensive support and supervision,
2009/2010,Alberta,Deferred custody and supervision,
2009/2010,Alberta,Supervised probation,
2009/2010,Alberta,Other community sentences,
2009/2010,British Columbia,Total correctional services,2546
2009/2010,British Columbia,Pre-trial detention,148
2009/2010,British Columbia,Secure custody,3
2009/2010,British Columbia,Custody and supervision (secure),3
2009/2010,British Columbia,Young Offenders Act (YOA) (secure),
2009/2010,British Columbia,Open custody,6
2009/2010,British Columbia,Custody and supervision (open),6
2009/2010,British Columbia,Young Offenders Act (YOA) (open),
2009/2010,British Columbia,Total community sentences,2389
2009/2010,British Columbia,Intensive support and supervision,23
2009/2010,British Columbia,Deferred custody and supervision,12
2009/2010,British Columbia,Supervised probation,591
2009/2010,British Columbia,Other community sentences,1763
2009/2010,Yukon,Total correctional services,56
2009/2010,Yukon,Pre-trial detention,18
2009/2010,Yukon,Secure custody,0
2009/2010,Yukon,Custody and supervision (secure),0
2009/2010,Yukon,Young Offenders Act (YOA) (secure),
2009/2010,Yukon,Open custody,0
2009/2010,Yukon,Custody and supervision (open),0
2009/2010,Yukon,Young Offenders Act (YOA) (open),
2009/2010,Yukon,Total community sentences,38
2009/2010,Yukon,Intensive support and supervision,1
2009/2010,Yukon,Deferred custody and supervision,5
2009/2010,Yukon,Supervised probation,18
2009/2010,Yukon,Other community sentences,14
2009/2010,Northwest Territories including Nunavut,Total correctional services,
2009/2010,Northwest Territories including Nunavut,Pre-trial detention,
2009/2010,Northwest Territories including Nunavut,Secure custody,
2009/2010,Northwest Territories including Nunavut,Custody and supervision (secure),
2009/2010,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2009/2010,Northwest Territories including Nunavut,Open custody,
2009/2010,Northwest Territories including Nunavut,Custody and supervision (open),
2009/2010,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2009/2010,Northwest Territories including Nunavut,Total community sentences,
2009/2010,Northwest Territories including Nunavut,Intensive support and supervision,
2009/2010,Northwest Territories including Nunavut,Deferred custody and supervision,
2009/2010,Northwest Territories including Nunavut,Supervised probation,
2009/2010,Northwest Territories including Nunavut,Other community sentences,
2009/2010,Northwest Territories,Total correctional services,111
2009/2010,Northwest Territories,Pre-trial detention,14
2009/2010,Northwest Territories,Secure custody,1
2009/2010,Northwest Territories,Custody and supervision (secure),1
2009/2010,Northwest Territories,Young Offenders Act (YOA) (secure),
2009/2010,Northwest Territories,Open custody,1
2009/2010,Northwest Territories,Custody and supervision (open),1
2009/2010,Northwest Territories,Young Offenders Act (YOA) (open),
2009/2010,Northwest Territories,Total community sentences,95
2009/2010,Northwest Territories,Intensive support and supervision,0
2009/2010,Northwest Territories,Deferred custody and supervision,0
2009/2010,Northwest Territories,Supervised probation,95
2009/2010,Northwest Territories,Other community sentences,
2009/2010,Nunavut,Total correctional services,83
2009/2010,Nunavut,Pre-trial detention,22
2009/2010,Nunavut,Secure custody,3
2009/2010,Nunavut,Custody and supervision (secure),3
2009/2010,Nunavut,Young Offenders Act (YOA) (secure),
2009/2010,Nunavut,Open custody,0
2009/2010,Nunavut,Custody and supervision (open),0
2009/2010,Nunavut,Young Offenders Act (YOA) (open),
2009/2010,Nunavut,Total community sentences,58
2009/2010,Nunavut,Intensive support and supervision,
2009/2010,Nunavut,Deferred custody and supervision,
2009/2010,Nunavut,Supervised probation,49
2009/2010,Nunavut,Other community sentences,9
2010/2011,Provinces and territories,Total correctional services,17073
2010/2011,Provinces and territories,Pre-trial detention,7103
2010/2011,Provinces and territories,Secure custody,202
2010/2011,Provinces and territories,Custody and supervision (secure),201
2010/2011,Provinces and territories,Young Offenders Act (YOA) (secure),0
2010/2011,Provinces and territories,Open custody,199
