REF_DATE,GEO,Initial entry status,VALUE
1999/2000,Provinces and territories,Young Offenders Act (YOA) (open),
1999/2000,Provinces and territories,Total community sentences,20664
1999/2000,Provinces and territories,Intensive support and supervision,
1999/2000,Provinces and territories,Deferred custody and supervision,
1999/2000,Provinces and territories,Supervised probation,17727
1999/2000,Provinces and territories,Other community sentences,2937
1999/2000,Newfoundland and Labrador,Total correctional services,668
1999/2000,Newfoundland and Labrador,Pre-trial detention,65
1999/2000,Newfoundland and Labrador,Secure custody,41
1999/2000,Newfoundland and Labrador,Custody and supervision (secure),
1999/2000,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
1999/2000,Newfoundland and Labrador,Open custody,31
1999/2000,Newfoundland and Labrador,Custody and supervision (open),
1999/2000,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
1999/2000,Newfoundland and Labrador,Total community sentences,531
1999/2000,Newfoundland and Labrador,Intensive support and supervision,
1999/2000,Newfoundland and Labrador,Deferred custody and supervision,
1999/2000,Newfoundland and Labrador,Supervised probation,444
1999/2000,Newfoundland and Labrador,Other community sentences,87
1999/2000,Prince Edward Island,Total correctional services,437
1999/2000,Prince Edward Island,Pre-trial detention,20
1999/2000,Prince Edward Island,Secure custody,4
1999/2000,Prince Edward Island,Custody and supervision (secure),
1999/2000,Prince Edward Island,Young Offenders Act (YOA) (secure),
1999/2000,Prince Edward Island,Open custody,5
1999/2000,Prince Edward Island,Custody and supervision (open),
1999/2000,Prince Edward Island,Young Offenders Act (YOA) (open),
1999/2000,Prince Edward Island,Total community sentences,408
1999/2000,Prince Edward Island,Intensive support and supervision,
1999/2000,Prince Edward Island,Deferred custody and supervision,
1999/2000,Prince Edward Island,Supervised probation,56
1999/2000,Prince Edward Island,Other community sentences,352
1999/2000,Nova Scotia,Total correctional services,2014
1999/2000,Nova Scotia,Pre-trial detention,532
1999/2000,Nova Scotia,Secure custody,17
1999/2000,Nova Scotia,Custody and supervision (secure),
1999/2000,Nova Scotia,Young Offenders Act (YOA) (secure),
1999/2000,Nova Scotia,Open custody,176
1999/2000,Nova Scotia,Custody and supervision (open),
1999/2000,Nova Scotia,Young Offenders Act (YOA) (open),
1999/2000,Nova Scotia,Total community sentences,1289
1999/2000,Nova Scotia,Intensive support and supervision,
1999/2000,Nova Scotia,Deferred custody and supervision,
1999/2000,Nova Scotia,Supervised probation,1289
1999/2000,Nova Scotia,Other community sentences,0
1999/2000,New Brunswick,Total correctional services,
1999/2000,New Brunswick,Pre-trial detention,
1999/2000,New Brunswick,Secure custody,
1999/2000,New Brunswick,Custody and supervision (secure),
1999/2000,New Brunswick,Young Offenders Act (YOA) (secure),
1999/2000,New Brunswick,Open custody,
1999/2000,New Brunswick,Custody and supervision (open),
1999/2000,New Brunswick,Young Offenders Act (YOA) (open),
1999/2000,New Brunswick,Total community sentences,
1999/2000,New Brunswick,Intensive support and supervision,
1999/2000,New Brunswick,Deferred custody and supervision,
1999/2000,New Brunswick,Supervised probation,
1999/2000,New Brunswick,Other community sentences,
1999/2000,Quebec,Total correctional services,
1999/2000,Quebec,Pre-trial detention,
1999/2000,Quebec,Secure custody,
