"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997/1998","Saskatchewan","2016A000247","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164201","8.3","172.7","","","","1"
"1997/1998","Saskatchewan","2016A000247","Sentenced open custody, actual-in count","Persons","249","units","0","v32164202","8.4","140.3","","","","1"
"1997/1998","Saskatchewan","2016A000247","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164203","8.5","69.5","","","","1"
"1997/1998","Saskatchewan","2016A000247","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164204","8.6","39.60","","","","2"
"1997/1998","Saskatchewan","2016A000247","Total community supervision count","Persons","249","units","0","v32164205","8.7","1878.9","","","","1"
"1997/1998","Saskatchewan","2016A000247","Probation, community supervision","Persons","249","units","0","v32164206","8.8","1878.9","","","","1"
"1997/1998","Saskatchewan","2016A000247","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164207","8.9","","..","","","1"
"1997/1998","Saskatchewan","2016A000247","Deferred custody, community supervision","Persons","249","units","0","v32164208","8.10","","..","","","1"
"1997/1998","Saskatchewan","2016A000247","Probation rate per 10,000 young persons","Rate","257","units","0","v32164209","8.12","194.48","","","","2"
"1997/1998","Alberta","2016A000248","Total actual-in count","Persons","249","units","0","v32164210","9.1","480.3","","","","1"
"1997/1998","Alberta","2016A000248","Total sentenced custody, actual-in count","Persons","249","units","0","v32164211","9.2","343.4","","","","1"
"1997/1998","Alberta","2016A000248","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164212","9.3","166.5","","","","1"
"1997/1998","Alberta","2016A000248","Sentenced open custody, actual-in count","Persons","249","units","0","v32164213","9.4","176.9","","","","1"
"1997/1998","Alberta","2016A000248","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164214","9.5","136.9","","","","1"
"1997/1998","Alberta","2016A000248","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164215","9.6","18.94","","","","2"
"1997/1998","Alberta","2016A000248","Total community supervision count","Persons","249","units","0","v32164216","9.7","3226.0","","","","1"
"1997/1998","Alberta","2016A000248","Probation, community supervision","Persons","249","units","0","v32164217","9.8","3226.0","","","","1"
"1997/1998","Alberta","2016A000248","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164218","9.9","","..","","","1"
"1997/1998","Alberta","2016A000248","Deferred custody, community supervision","Persons","249","units","0","v32164219","9.10","","..","","","1"
"1997/1998","Alberta","2016A000248","Intensive support and supervision, community supervision","Persons","249","units","0","v32164220","9.11","","..","","","1"
"1997/1998","Alberta","2016A000248","Probation rate per 10,000 young persons","Rate","257","units","0","v32164221","9.12","127.22","","","","2"
"1997/1998","British Columbia","2016A000259","Total actual-in count","Persons","249","units","0","v32164222","10.1","385.8","","","","1"
"1997/1998","British Columbia","2016A000259","Total sentenced custody, actual-in count","Persons","249","units","0","v32164223","10.2","276.7","","","","1"
"1997/1998","British Columbia","2016A000259","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164224","10.3","111.1","","","","1"
"1997/1998","British Columbia","2016A000259","Sentenced open custody, actual-in count","Persons","249","units","0","v32164225","10.4","165.6","","","","1"
"1997/1998","British Columbia","2016A000259","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164226","10.5","109.1","","","","1"
"1997/1998","British Columbia","2016A000259","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164227","10.6","12.22","","","","2"
"1997/1998","British Columbia","2016A000259","Total community supervision count","Persons","249","units","0","v32164228","10.7","4258.5","","","","1"
