REF_DATE,GEO,DGUID,Custodial and community supervision,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Ontario,2016A000235,Total actual-in count,Persons,249,units,0,v32164177,6.1,516.3,,,,1
2012/2013,Ontario,2016A000235,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164178,6.2,223.5,,,,1
2012/2013,Ontario,2016A000235,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164179,6.3,126.5,,,,1
2012/2013,Ontario,2016A000235,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164180,6.4,97,,,,1
2012/2013,Ontario,2016A000235,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164181,6.5,292.8,,,,1
2012/2013,Ontario,2016A000235,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164182,6.6,5.25,,,,2
2012/2013,Ontario,2016A000235,Total community supervision count,Persons,249,units,0,v32164183,6.7,5279.2,,,,1
2012/2013,Ontario,2016A000235,"Probation, community supervision",Persons,249,units,0,v32164184,6.8,5036.5,,,,1
2012/2013,Ontario,2016A000235,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164185,6.9,128.1,,,,1
2012/2013,Ontario,2016A000235,"Deferred custody, community supervision",Persons,249,units,0,v32164186,6.1,62.9,,,,1
2012/2013,Ontario,2016A000235,"Intensive support and supervision, community supervision",Persons,249,units,0,v44182193,6.11,51.7,,,,1
2012/2013,Ontario,2016A000235,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164187,6.12,51.25,,,,2
2012/2013,Manitoba,2016A000246,Total actual-in count,Persons,249,units,0,v32164188,7.1,303.8,,,,1
2012/2013,Manitoba,2016A000246,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164189,7.2,99.8,,,,1
2012/2013,Manitoba,2016A000246,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164190,7.3,58.7,,,,1
2012/2013,Manitoba,2016A000246,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164191,7.4,41.2,,,,1
