REF_DATE,GEO,DGUID,Admissions and releases,Correctional services,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Quebec,2016A000224,Youth admissions,Provincial director remand,Number,223,units,0,v41444271,6.1.3,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Secure custody,Number,223,units,0,v32445734,6.1.4,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445735,6.1.5,,..,,t,0
2012/2013,Quebec,2016A000224,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v43732549,6.1.6,,..,,t,0
2012/2013,Quebec,2016A000224,Youth admissions,Open custody,Number,223,units,0,v32445736,6.1.7,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445737,6.1.8,,..,,t,0
2012/2013,Quebec,2016A000224,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v43732550,6.1.9,,..,,t,0
2012/2013,Quebec,2016A000224,Youth admissions,Total community sentences,Number,223,units,0,v32445738,6.1.10,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v43732551,6.1.11,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Intensive support and supervision,Number,223,units,0,v32445739,6.1.12,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445740,6.1.13,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Supervised probation,Number,223,units,0,v32445741,6.1.14,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Other community sentences,Number,223,units,0,v32445742,6.1.15,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Total correctional services,Number,223,units,0,v41501090,6.2.1,,..,,,0
