REF_DATE,GEO,DGUID,Initial entry status,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Alberta,2016A000248,Deferred custody and supervision,Number,223,units,0,v32445503,12.11,,..,,,0
2012/2013,Alberta,2016A000248,Supervised probation,Number,223,units,0,v32445504,12.12,,..,,,0
2012/2013,Alberta,2016A000248,Other community sentences,Number,223,units,0,v32445505,12.13,,..,,,0
2012/2013,British Columbia,2016A000259,Total correctional services,Number,223,units,0,v32445506,13.1,1857,,,,0
2012/2013,British Columbia,2016A000259,Pre-trial detention,Number,223,units,0,v32860960,13.2,102,,,,0
2012/2013,British Columbia,2016A000259,Secure custody,Number,223,units,0,v32445507,13.3,1,,,,0
2012/2013,British Columbia,2016A000259,Custody and supervision (secure),Number,223,units,0,v52458548,13.4,,..,,t,0
2012/2013,British Columbia,2016A000259,Young Offenders Act (YOA) (secure),Number,223,units,0,v52458549,13.5,,..,,t,0
2012/2013,British Columbia,2016A000259,Open custody,Number,223,units,0,v32445508,13.6,2,,,,0
2012/2013,British Columbia,2016A000259,Custody and supervision (open),Number,223,units,0,v52458550,13.7,,..,,t,0
2012/2013,British Columbia,2016A000259,Young Offenders Act (YOA) (open),Number,223,units,0,v52458551,13.8,,..,,t,0
2012/2013,British Columbia,2016A000259,Total community sentences,Number,223,units,0,v32445509,13.9,1752,,,,0
2012/2013,British Columbia,2016A000259,Intensive support and supervision,Number,223,units,0,v52459796,13.1,10,,,,0
2012/2013,British Columbia,2016A000259,Deferred custody and supervision,Number,223,units,0,v52458553,13.11,6,,,,0
2012/2013,British Columbia,2016A000259,Supervised probation,Number,223,units,0,v32445510,13.12,354,,,,0
2012/2013,British Columbia,2016A000259,Other community sentences,Number,223,units,0,v32445511,13.13,1382,,,,0
2012/2013,Yukon,2016A000260,Total correctional services,Number,223,units,0,v32445512,14.1,44,,,,0
2012/2013,Yukon,2016A000260,Pre-trial detention,Number,223,units,0,v32445513,14.2,30,,,,0
2012/2013,Yukon,2016A000260,Secure custody,Number,223,units,0,v32445514,14.3,1,,,,0
